Audio path,Prompt path
dataset\audio\F01Session1wav_headMic0068.wav,dataset\prompts\F01Session1prompts0068.txt
dataset\audio\F01Session1wav_headMic0069.wav,dataset\prompts\F01Session1prompts0069.txt
dataset\audio\F01Session1wav_headMic0070.wav,dataset\prompts\F01Session1prompts0070.txt
dataset\audio\F01Session1wav_headMic0071.wav,dataset\prompts\F01Session1prompts0071.txt
dataset\audio\F01Session1wav_headMic0072.wav,dataset\prompts\F01Session1prompts0072.txt
dataset\audio\F01Session1wav_headMic0073.wav,dataset\prompts\F01Session1prompts0073.txt
dataset\audio\F01Session1wav_headMic0074.wav,dataset\prompts\F01Session1prompts0074.txt
dataset\audio\F01Session1wav_headMic0075.wav,dataset\prompts\F01Session1prompts0075.txt
dataset\audio\F01Session1wav_headMic0076.wav,dataset\prompts\F01Session1prompts0076.txt
dataset\audio\F01Session1wav_headMic0077.wav,dataset\prompts\F01Session1prompts0077.txt
dataset\audio\F01Session1wav_headMic0078.wav,dataset\prompts\F01Session1prompts0078.txt
dataset\audio\F01Session1wav_headMic0079.wav,dataset\prompts\F01Session1prompts0079.txt
dataset\audio\F01Session1wav_headMic0080.wav,dataset\prompts\F01Session1prompts0080.txt
dataset\audio\F01Session1wav_headMic0081.wav,dataset\prompts\F01Session1prompts0081.txt
dataset\audio\F01Session1wav_headMic0082.wav,dataset\prompts\F01Session1prompts0082.txt
dataset\audio\F01Session1wav_headMic0083.wav,dataset\prompts\F01Session1prompts0083.txt
dataset\audio\F01Session1wav_headMic0084.wav,dataset\prompts\F01Session1prompts0084.txt
dataset\audio\F01Session1wav_headMic0085.wav,dataset\prompts\F01Session1prompts0085.txt
dataset\audio\F01Session1wav_headMic0086.wav,dataset\prompts\F01Session1prompts0086.txt
dataset\audio\F01Session1wav_headMic0087.wav,dataset\prompts\F01Session1prompts0087.txt
dataset\audio\F01Session1wav_headMic0088.wav,dataset\prompts\F01Session1prompts0088.txt
dataset\audio\F01Session1wav_headMic0089.wav,dataset\prompts\F01Session1prompts0089.txt
dataset\audio\F01Session1wav_headMic0090.wav,dataset\prompts\F01Session1prompts0090.txt
dataset\audio\F01Session1wav_headMic0091.wav,dataset\prompts\F01Session1prompts0091.txt
dataset\audio\F01Session1wav_headMic0092.wav,dataset\prompts\F01Session1prompts0092.txt
dataset\audio\F01Session1wav_headMic0093.wav,dataset\prompts\F01Session1prompts0093.txt
dataset\audio\F01Session1wav_headMic0094.wav,dataset\prompts\F01Session1prompts0094.txt
dataset\audio\F01Session1wav_headMic0095.wav,dataset\prompts\F01Session1prompts0095.txt
dataset\audio\F01Session1wav_headMic0096.wav,dataset\prompts\F01Session1prompts0096.txt
dataset\audio\F01Session1wav_headMic0097.wav,dataset\prompts\F01Session1prompts0097.txt
dataset\audio\F01Session1wav_headMic0098.wav,dataset\prompts\F01Session1prompts0098.txt
dataset\audio\F01Session1wav_headMic0099.wav,dataset\prompts\F01Session1prompts0099.txt
dataset\audio\F01Session1wav_headMic0100.wav,dataset\prompts\F01Session1prompts0100.txt
dataset\audio\F01Session1wav_headMic0101.wav,dataset\prompts\F01Session1prompts0101.txt
dataset\audio\F01Session1wav_headMic0102.wav,dataset\prompts\F01Session1prompts0102.txt
dataset\audio\F01Session1wav_headMic0103.wav,dataset\prompts\F01Session1prompts0103.txt
dataset\audio\F01Session1wav_headMic0104.wav,dataset\prompts\F01Session1prompts0104.txt
dataset\audio\F01Session1wav_headMic0105.wav,dataset\prompts\F01Session1prompts0105.txt
dataset\audio\F01Session1wav_headMic0106.wav,dataset\prompts\F01Session1prompts0106.txt
dataset\audio\F01Session1wav_headMic0107.wav,dataset\prompts\F01Session1prompts0107.txt
dataset\audio\F01Session1wav_headMic0108.wav,dataset\prompts\F01Session1prompts0108.txt
dataset\audio\F01Session1wav_headMic0109.wav,dataset\prompts\F01Session1prompts0109.txt
dataset\audio\F01Session1wav_headMic0110.wav,dataset\prompts\F01Session1prompts0110.txt
dataset\audio\F01Session1wav_headMic0111.wav,dataset\prompts\F01Session1prompts0111.txt
dataset\audio\F01Session1wav_headMic0112.wav,dataset\prompts\F01Session1prompts0112.txt
dataset\audio\F01Session1wav_headMic0113.wav,dataset\prompts\F01Session1prompts0113.txt
dataset\audio\F01Session1wav_headMic0114.wav,dataset\prompts\F01Session1prompts0114.txt
dataset\audio\F01Session1wav_headMic0115.wav,dataset\prompts\F01Session1prompts0115.txt
dataset\audio\F01Session1wav_headMic0116.wav,dataset\prompts\F01Session1prompts0116.txt
dataset\audio\F01Session1wav_headMic0117.wav,dataset\prompts\F01Session1prompts0117.txt
dataset\audio\F01Session1wav_headMic0118.wav,dataset\prompts\F01Session1prompts0118.txt
dataset\audio\F01Session1wav_headMic0119.wav,dataset\prompts\F01Session1prompts0119.txt
dataset\audio\F01Session1wav_headMic0120.wav,dataset\prompts\F01Session1prompts0120.txt
dataset\audio\F01Session1wav_headMic0121.wav,dataset\prompts\F01Session1prompts0121.txt
dataset\audio\F01Session1wav_headMic0122.wav,dataset\prompts\F01Session1prompts0122.txt
dataset\audio\F01Session1wav_headMic0123.wav,dataset\prompts\F01Session1prompts0123.txt
dataset\audio\F01Session1wav_headMic0124.wav,dataset\prompts\F01Session1prompts0124.txt
dataset\audio\F01Session1wav_headMic0125.wav,dataset\prompts\F01Session1prompts0125.txt
dataset\audio\F01Session1wav_headMic0126.wav,dataset\prompts\F01Session1prompts0126.txt
dataset\audio\F01Session1wav_headMic0127.wav,dataset\prompts\F01Session1prompts0127.txt
dataset\audio\F01Session1wav_headMic0128.wav,dataset\prompts\F01Session1prompts0128.txt
dataset\audio\F01Session1wav_headMic0129.wav,dataset\prompts\F01Session1prompts0129.txt
dataset\audio\F01Session1wav_headMic0130.wav,dataset\prompts\F01Session1prompts0130.txt
dataset\audio\F01Session1wav_headMic0131.wav,dataset\prompts\F01Session1prompts0131.txt
dataset\audio\F01Session1wav_headMic0132.wav,dataset\prompts\F01Session1prompts0132.txt
dataset\audio\F01Session1wav_headMic0133.wav,dataset\prompts\F01Session1prompts0133.txt
dataset\audio\F01Session1wav_headMic0134.wav,dataset\prompts\F01Session1prompts0134.txt
dataset\audio\F03Session1wav_headMic0001.wav,dataset\prompts\F03Session1prompts0001.txt
dataset\audio\F03Session1wav_headMic0002.wav,dataset\prompts\F03Session1prompts0002.txt
dataset\audio\F03Session1wav_headMic0003.wav,dataset\prompts\F03Session1prompts0003.txt
dataset\audio\F03Session1wav_headMic0004.wav,dataset\prompts\F03Session1prompts0004.txt
dataset\audio\F03Session1wav_headMic0005.wav,dataset\prompts\F03Session1prompts0005.txt
dataset\audio\F03Session1wav_headMic0006.wav,dataset\prompts\F03Session1prompts0006.txt
dataset\audio\F03Session1wav_headMic0007.wav,dataset\prompts\F03Session1prompts0007.txt
dataset\audio\F03Session1wav_headMic0008.wav,dataset\prompts\F03Session1prompts0008.txt
dataset\audio\F03Session1wav_headMic0009.wav,dataset\prompts\F03Session1prompts0009.txt
dataset\audio\F03Session1wav_headMic0010.wav,dataset\prompts\F03Session1prompts0010.txt
dataset\audio\F03Session1wav_headMic0011.wav,dataset\prompts\F03Session1prompts0011.txt
dataset\audio\F03Session1wav_headMic0012.wav,dataset\prompts\F03Session1prompts0012.txt
dataset\audio\F03Session1wav_headMic0013.wav,dataset\prompts\F03Session1prompts0013.txt
dataset\audio\F03Session1wav_headMic0014.wav,dataset\prompts\F03Session1prompts0014.txt
dataset\audio\F03Session1wav_headMic0015.wav,dataset\prompts\F03Session1prompts0015.txt
dataset\audio\F03Session1wav_headMic0016.wav,dataset\prompts\F03Session1prompts0016.txt
dataset\audio\F03Session1wav_headMic0017.wav,dataset\prompts\F03Session1prompts0017.txt
dataset\audio\F03Session1wav_headMic0018.wav,dataset\prompts\F03Session1prompts0018.txt
dataset\audio\F03Session1wav_headMic0019.wav,dataset\prompts\F03Session1prompts0019.txt
dataset\audio\F03Session1wav_headMic0020.wav,dataset\prompts\F03Session1prompts0020.txt
dataset\audio\F03Session1wav_headMic0021.wav,dataset\prompts\F03Session1prompts0021.txt
dataset\audio\F03Session1wav_headMic0022.wav,dataset\prompts\F03Session1prompts0022.txt
dataset\audio\F03Session1wav_headMic0023.wav,dataset\prompts\F03Session1prompts0023.txt
dataset\audio\F03Session1wav_headMic0024.wav,dataset\prompts\F03Session1prompts0024.txt
dataset\audio\F03Session1wav_headMic0025.wav,dataset\prompts\F03Session1prompts0025.txt
dataset\audio\F03Session1wav_headMic0026.wav,dataset\prompts\F03Session1prompts0026.txt
dataset\audio\F03Session1wav_headMic0027.wav,dataset\prompts\F03Session1prompts0027.txt
dataset\audio\F03Session1wav_headMic0028.wav,dataset\prompts\F03Session1prompts0028.txt
dataset\audio\F03Session1wav_headMic0029.wav,dataset\prompts\F03Session1prompts0029.txt
dataset\audio\F03Session1wav_headMic0030.wav,dataset\prompts\F03Session1prompts0030.txt
dataset\audio\F03Session1wav_headMic0031.wav,dataset\prompts\F03Session1prompts0031.txt
dataset\audio\F03Session1wav_headMic0032.wav,dataset\prompts\F03Session1prompts0032.txt
dataset\audio\F03Session1wav_headMic0033.wav,dataset\prompts\F03Session1prompts0033.txt
dataset\audio\F03Session1wav_headMic0034.wav,dataset\prompts\F03Session1prompts0034.txt
dataset\audio\F03Session1wav_headMic0035.wav,dataset\prompts\F03Session1prompts0035.txt
dataset\audio\F03Session1wav_headMic0036.wav,dataset\prompts\F03Session1prompts0036.txt
dataset\audio\F03Session1wav_headMic0037.wav,dataset\prompts\F03Session1prompts0037.txt
dataset\audio\F03Session1wav_headMic0038.wav,dataset\prompts\F03Session1prompts0038.txt
dataset\audio\F03Session1wav_headMic0039.wav,dataset\prompts\F03Session1prompts0039.txt
dataset\audio\F03Session1wav_headMic0040.wav,dataset\prompts\F03Session1prompts0040.txt
dataset\audio\F03Session1wav_headMic0041.wav,dataset\prompts\F03Session1prompts0041.txt
dataset\audio\F03Session1wav_headMic0042.wav,dataset\prompts\F03Session1prompts0042.txt
dataset\audio\F03Session1wav_headMic0043.wav,dataset\prompts\F03Session1prompts0043.txt
dataset\audio\F03Session1wav_headMic0044.wav,dataset\prompts\F03Session1prompts0044.txt
dataset\audio\F03Session1wav_headMic0045.wav,dataset\prompts\F03Session1prompts0045.txt
dataset\audio\F03Session1wav_headMic0046.wav,dataset\prompts\F03Session1prompts0046.txt
dataset\audio\F03Session1wav_headMic0047.wav,dataset\prompts\F03Session1prompts0047.txt
dataset\audio\F03Session1wav_headMic0048.wav,dataset\prompts\F03Session1prompts0048.txt
dataset\audio\F03Session1wav_headMic0049.wav,dataset\prompts\F03Session1prompts0049.txt
dataset\audio\F03Session1wav_headMic0050.wav,dataset\prompts\F03Session1prompts0050.txt
dataset\audio\F03Session1wav_headMic0051.wav,dataset\prompts\F03Session1prompts0051.txt
dataset\audio\F03Session1wav_headMic0052.wav,dataset\prompts\F03Session1prompts0052.txt
dataset\audio\F03Session1wav_headMic0053.wav,dataset\prompts\F03Session1prompts0053.txt
dataset\audio\F03Session1wav_headMic0054.wav,dataset\prompts\F03Session1prompts0054.txt
dataset\audio\F03Session1wav_headMic0055.wav,dataset\prompts\F03Session1prompts0055.txt
dataset\audio\F03Session1wav_headMic0056.wav,dataset\prompts\F03Session1prompts0056.txt
dataset\audio\F03Session1wav_headMic0057.wav,dataset\prompts\F03Session1prompts0057.txt
dataset\audio\F03Session1wav_headMic0058.wav,dataset\prompts\F03Session1prompts0058.txt
dataset\audio\F03Session1wav_headMic0059.wav,dataset\prompts\F03Session1prompts0059.txt
dataset\audio\F03Session1wav_headMic0060.wav,dataset\prompts\F03Session1prompts0060.txt
dataset\audio\F03Session1wav_headMic0061.wav,dataset\prompts\F03Session1prompts0061.txt
dataset\audio\F03Session1wav_headMic0062.wav,dataset\prompts\F03Session1prompts0062.txt
dataset\audio\F03Session1wav_headMic0063.wav,dataset\prompts\F03Session1prompts0063.txt
dataset\audio\F03Session1wav_headMic0064.wav,dataset\prompts\F03Session1prompts0064.txt
dataset\audio\F03Session1wav_headMic0065.wav,dataset\prompts\F03Session1prompts0065.txt
dataset\audio\F03Session1wav_headMic0066.wav,dataset\prompts\F03Session1prompts0066.txt
dataset\audio\F03Session1wav_headMic0067.wav,dataset\prompts\F03Session1prompts0067.txt
dataset\audio\F03Session1wav_headMic0068.wav,dataset\prompts\F03Session1prompts0068.txt
dataset\audio\F03Session1wav_headMic0069.wav,dataset\prompts\F03Session1prompts0069.txt
dataset\audio\F03Session1wav_headMic0070.wav,dataset\prompts\F03Session1prompts0070.txt
dataset\audio\F03Session1wav_headMic0071.wav,dataset\prompts\F03Session1prompts0071.txt
dataset\audio\F03Session1wav_headMic0072.wav,dataset\prompts\F03Session1prompts0072.txt
dataset\audio\F03Session1wav_headMic0073.wav,dataset\prompts\F03Session1prompts0073.txt
dataset\audio\F03Session1wav_headMic0074.wav,dataset\prompts\F03Session1prompts0074.txt
dataset\audio\F03Session1wav_headMic0075.wav,dataset\prompts\F03Session1prompts0075.txt
dataset\audio\F03Session1wav_headMic0076.wav,dataset\prompts\F03Session1prompts0076.txt
dataset\audio\F03Session1wav_headMic0077.wav,dataset\prompts\F03Session1prompts0077.txt
dataset\audio\F03Session1wav_headMic0078.wav,dataset\prompts\F03Session1prompts0078.txt
dataset\audio\F03Session1wav_headMic0079.wav,dataset\prompts\F03Session1prompts0079.txt
dataset\audio\F03Session1wav_headMic0080.wav,dataset\prompts\F03Session1prompts0080.txt
dataset\audio\F03Session1wav_headMic0081.wav,dataset\prompts\F03Session1prompts0081.txt
dataset\audio\F03Session1wav_headMic0082.wav,dataset\prompts\F03Session1prompts0082.txt
dataset\audio\F03Session1wav_headMic0083.wav,dataset\prompts\F03Session1prompts0083.txt
dataset\audio\F03Session1wav_headMic0084.wav,dataset\prompts\F03Session1prompts0084.txt
dataset\audio\F03Session1wav_headMic0085.wav,dataset\prompts\F03Session1prompts0085.txt
dataset\audio\F03Session1wav_headMic0086.wav,dataset\prompts\F03Session1prompts0086.txt
dataset\audio\F03Session1wav_headMic0087.wav,dataset\prompts\F03Session1prompts0087.txt
dataset\audio\F03Session1wav_headMic0088.wav,dataset\prompts\F03Session1prompts0088.txt
dataset\audio\F03Session1wav_headMic0089.wav,dataset\prompts\F03Session1prompts0089.txt
dataset\audio\F03Session1wav_headMic0090.wav,dataset\prompts\F03Session1prompts0090.txt
dataset\audio\F03Session1wav_headMic0091.wav,dataset\prompts\F03Session1prompts0091.txt
dataset\audio\F03Session1wav_headMic0092.wav,dataset\prompts\F03Session1prompts0092.txt
dataset\audio\F03Session1wav_headMic0093.wav,dataset\prompts\F03Session1prompts0093.txt
dataset\audio\F03Session1wav_headMic0094.wav,dataset\prompts\F03Session1prompts0094.txt
dataset\audio\F03Session1wav_headMic0095.wav,dataset\prompts\F03Session1prompts0095.txt
dataset\audio\F03Session1wav_headMic0096.wav,dataset\prompts\F03Session1prompts0096.txt
dataset\audio\F03Session1wav_headMic0097.wav,dataset\prompts\F03Session1prompts0097.txt
dataset\audio\F03Session1wav_headMic0098.wav,dataset\prompts\F03Session1prompts0098.txt
dataset\audio\F03Session1wav_headMic0099.wav,dataset\prompts\F03Session1prompts0099.txt
dataset\audio\F03Session1wav_headMic0100.wav,dataset\prompts\F03Session1prompts0100.txt
dataset\audio\F03Session1wav_headMic0101.wav,dataset\prompts\F03Session1prompts0101.txt
dataset\audio\F03Session1wav_headMic0102.wav,dataset\prompts\F03Session1prompts0102.txt
dataset\audio\F03Session1wav_headMic0103.wav,dataset\prompts\F03Session1prompts0103.txt
dataset\audio\F03Session1wav_headMic0104.wav,dataset\prompts\F03Session1prompts0104.txt
dataset\audio\F03Session1wav_headMic0105.wav,dataset\prompts\F03Session1prompts0105.txt
dataset\audio\F03Session1wav_headMic0106.wav,dataset\prompts\F03Session1prompts0106.txt
dataset\audio\F03Session1wav_headMic0107.wav,dataset\prompts\F03Session1prompts0107.txt
dataset\audio\F03Session1wav_headMic0108.wav,dataset\prompts\F03Session1prompts0108.txt
dataset\audio\F03Session1wav_headMic0109.wav,dataset\prompts\F03Session1prompts0109.txt
dataset\audio\F03Session1wav_headMic0110.wav,dataset\prompts\F03Session1prompts0110.txt
dataset\audio\F03Session1wav_headMic0111.wav,dataset\prompts\F03Session1prompts0111.txt
dataset\audio\F03Session1wav_headMic0112.wav,dataset\prompts\F03Session1prompts0112.txt
dataset\audio\F03Session1wav_headMic0113.wav,dataset\prompts\F03Session1prompts0113.txt
dataset\audio\F03Session1wav_headMic0114.wav,dataset\prompts\F03Session1prompts0114.txt
dataset\audio\F03Session1wav_headMic0115.wav,dataset\prompts\F03Session1prompts0115.txt
dataset\audio\F03Session1wav_headMic0116.wav,dataset\prompts\F03Session1prompts0116.txt
dataset\audio\F03Session1wav_headMic0117.wav,dataset\prompts\F03Session1prompts0117.txt
dataset\audio\F03Session1wav_headMic0118.wav,dataset\prompts\F03Session1prompts0118.txt
dataset\audio\F03Session1wav_headMic0119.wav,dataset\prompts\F03Session1prompts0119.txt
dataset\audio\F03Session1wav_headMic0120.wav,dataset\prompts\F03Session1prompts0120.txt
dataset\audio\F03Session1wav_headMic0121.wav,dataset\prompts\F03Session1prompts0121.txt
dataset\audio\F03Session1wav_headMic0122.wav,dataset\prompts\F03Session1prompts0122.txt
dataset\audio\F03Session1wav_headMic0123.wav,dataset\prompts\F03Session1prompts0123.txt
dataset\audio\F03Session1wav_headMic0124.wav,dataset\prompts\F03Session1prompts0124.txt
dataset\audio\F03Session1wav_headMic0125.wav,dataset\prompts\F03Session1prompts0125.txt
dataset\audio\F03Session1wav_headMic0126.wav,dataset\prompts\F03Session1prompts0126.txt
dataset\audio\F03Session1wav_headMic0127.wav,dataset\prompts\F03Session1prompts0127.txt
dataset\audio\F03Session1wav_headMic0128.wav,dataset\prompts\F03Session1prompts0128.txt
dataset\audio\F03Session1wav_headMic0129.wav,dataset\prompts\F03Session1prompts0129.txt
dataset\audio\F03Session1wav_headMic0130.wav,dataset\prompts\F03Session1prompts0130.txt
dataset\audio\F03Session1wav_headMic0131.wav,dataset\prompts\F03Session1prompts0131.txt
dataset\audio\F03Session1wav_headMic0132.wav,dataset\prompts\F03Session1prompts0132.txt
dataset\audio\F03Session1wav_headMic0133.wav,dataset\prompts\F03Session1prompts0133.txt
dataset\audio\F03Session1wav_headMic0134.wav,dataset\prompts\F03Session1prompts0134.txt
dataset\audio\F03Session1wav_headMic0135.wav,dataset\prompts\F03Session1prompts0135.txt
dataset\audio\F03Session1wav_headMic0136.wav,dataset\prompts\F03Session1prompts0136.txt
dataset\audio\F03Session1wav_headMic0137.wav,dataset\prompts\F03Session1prompts0137.txt
dataset\audio\F03Session1wav_headMic0138.wav,dataset\prompts\F03Session1prompts0138.txt
dataset\audio\F03Session1wav_headMic0139.wav,dataset\prompts\F03Session1prompts0139.txt
dataset\audio\F03Session1wav_headMic0140.wav,dataset\prompts\F03Session1prompts0140.txt
dataset\audio\F03Session1wav_headMic0141.wav,dataset\prompts\F03Session1prompts0141.txt
dataset\audio\F03Session1wav_headMic0142.wav,dataset\prompts\F03Session1prompts0142.txt
dataset\audio\F03Session1wav_headMic0143.wav,dataset\prompts\F03Session1prompts0143.txt
dataset\audio\F03Session1wav_headMic0144.wav,dataset\prompts\F03Session1prompts0144.txt
dataset\audio\F03Session1wav_headMic0145.wav,dataset\prompts\F03Session1prompts0145.txt
dataset\audio\F03Session1wav_headMic0146.wav,dataset\prompts\F03Session1prompts0146.txt
dataset\audio\F03Session1wav_headMic0147.wav,dataset\prompts\F03Session1prompts0147.txt
dataset\audio\F03Session1wav_headMic0148.wav,dataset\prompts\F03Session1prompts0148.txt
dataset\audio\F03Session1wav_headMic0149.wav,dataset\prompts\F03Session1prompts0149.txt
dataset\audio\F03Session1wav_headMic0150.wav,dataset\prompts\F03Session1prompts0150.txt
dataset\audio\F03Session1wav_headMic0151.wav,dataset\prompts\F03Session1prompts0151.txt
dataset\audio\F03Session1wav_headMic0152.wav,dataset\prompts\F03Session1prompts0152.txt
dataset\audio\F03Session1wav_headMic0153.wav,dataset\prompts\F03Session1prompts0153.txt
dataset\audio\F03Session1wav_headMic0154.wav,dataset\prompts\F03Session1prompts0154.txt
dataset\audio\F03Session1wav_headMic0155.wav,dataset\prompts\F03Session1prompts0155.txt
dataset\audio\F03Session1wav_headMic0156.wav,dataset\prompts\F03Session1prompts0156.txt
dataset\audio\F03Session1wav_headMic0157.wav,dataset\prompts\F03Session1prompts0157.txt
dataset\audio\F03Session1wav_headMic0158.wav,dataset\prompts\F03Session1prompts0158.txt
dataset\audio\F03Session1wav_headMic0159.wav,dataset\prompts\F03Session1prompts0159.txt
dataset\audio\F03Session1wav_headMic0160.wav,dataset\prompts\F03Session1prompts0160.txt
dataset\audio\F03Session1wav_headMic0161.wav,dataset\prompts\F03Session1prompts0161.txt
dataset\audio\F03Session1wav_headMic0162.wav,dataset\prompts\F03Session1prompts0162.txt
dataset\audio\F03Session1wav_headMic0163.wav,dataset\prompts\F03Session1prompts0163.txt
dataset\audio\F03Session1wav_headMic0164.wav,dataset\prompts\F03Session1prompts0164.txt
dataset\audio\F03Session1wav_headMic0165.wav,dataset\prompts\F03Session1prompts0165.txt
dataset\audio\F03Session1wav_headMic0166.wav,dataset\prompts\F03Session1prompts0166.txt
dataset\audio\F03Session1wav_headMic0167.wav,dataset\prompts\F03Session1prompts0167.txt
dataset\audio\F03Session1wav_headMic0168.wav,dataset\prompts\F03Session1prompts0168.txt
dataset\audio\F03Session1wav_headMic0169.wav,dataset\prompts\F03Session1prompts0169.txt
dataset\audio\F03Session1wav_headMic0170.wav,dataset\prompts\F03Session1prompts0170.txt
dataset\audio\F03Session1wav_headMic0171.wav,dataset\prompts\F03Session1prompts0171.txt
