audio path,prompt,length
dataset\audio\M03Session2wav_headMic0355.wav,I have had my bell rung.,24
dataset\audio\MC03Session1wav_headMic0425.wav,You want him to do well.,24
dataset\audio\M05Session2wav_headMic0353.wav,You want him to do well.,24
dataset\audio\F03Session3wav_headMic0184.wav,We bought a brown chair.,24
dataset\audio\MC01Session1wav_headMic0260.wav,I have had my bell rung.,24
dataset\audio\M05Session2wav_headMic0383.wav,You can ride stagecoach.,24
dataset\audio\MC01Session2wav_headMic0298.wav,He asked you for a loan.,24
dataset\audio\MC04Session1wav_headMic0632.wav,He asked you for a loan.,24
dataset\audio\FC03Session3wav_headMic0119.wav,He has played very well.,24
dataset\audio\MC01Session3wav_headMic0280.wav,There is such a program.,24
dataset\audio\F04Session2wav_headMic0176.wav,I have had my bell rung.,24
dataset\audio\F03Session3wav_headMic0133.wav,The prospects of cupping,24
dataset\audio\FC03Session2wav_headMic0252.wav,He asked you for a loan.,24
dataset\audio\MC02Session1wav_headMic0332.wav,I have had my bell rung.,24
dataset\audio\FC03Session2wav_headMic0098.wav,We bought a brown chair.,24
dataset\audio\FC03Session2wav_headMic0099.wav,You want him to do well.,24
dataset\audio\FC02Session3wav_headMic0701.wav,She will order the wine.,24
dataset\audio\MC01Session3wav_headMic0305.wav,She will order the wine.,24
dataset\audio\FC03Session3wav_headMic0192.wav,She will order the wine.,24
dataset\audio\MC04Session1wav_headMic0370.wav,I have had my bell rung.,24
dataset\audio\FC02Session3wav_headMic0996.wav,He has played very well.,24
dataset\audio\M02Session2wav_headMic0160.wav,I have had my bell rung.,24
dataset\audio\FC02Session3wav_headMic0593.wav,He has played very well.,24
dataset\audio\FC02Session3wav_headMic0671.wav,There is such a program.,24
dataset\audio\MC01Session3wav_headMic0137.wav,He has played very well.,24
dataset\audio\MC04Session1wav_headMic0391.wav,You want him to do well.,24
dataset\audio\M05Session2wav_headMic0213.wav,I have had my bell rung.,24
dataset\audio\F03Session2wav_headMic0122.wav,I have had my bell rung.,24
dataset\audio\FC03Session2wav_headMic0018.wav,You can ride stagecoach.,24
dataset\audio\MC04Session1wav_headMic0396.wav,You can ride stagecoach.,24
dataset\audio\M02Session1wav_headMic0172.wav,I can play this weekend.,24
dataset\audio\FC02Session3wav_headMic0379.wav,He asked you for a loan.,24
dataset\audio\F03Session1wav_headMic0179.wav,He will allow a rare lie.,25
dataset\audio\M02Session2wav_headMic0194.wav,It was a good win for us.,25
dataset\audio\MC01Session3wav_headMic0108.wav,Range was a vital detail.,25
dataset\audio\F03Session1wav_headMic0194.wav,I just try to do my best.,25
dataset\audio\M04Session2wav_headMic0183.wav,He will allow a rare lie.,25
dataset\audio\M01Session2wav_headMic0152.wav,He will allow a rare lie.,25
dataset\audio\M02Session1wav_headMic0185.wav,He will allow a rare lie.,25
dataset\audio\M03Session2wav_headMic0213.wav,She is thinner than I am.,25
dataset\audio\FC02Session3wav_headMic0983.wav,The kat had five kittens.,25
dataset\audio\M04Session2wav_headMic0182.wav,He will allow a rare lie.,25
dataset\audio\MC04Session1wav_headMic0453.wav,The hotel owner shrugged.,25
dataset\audio\MC03Session1wav_headMic0450.wav,Get a calico cat to keep.,25
dataset\audio\FC02Session3wav_headMic0049.wav,It was a good win for us.,25
dataset\audio\M04Session2wav_headMic0158.wav,I just try to do my best.,25
dataset\audio\M04Session2wav_headMic0157.wav,She is thinner than I am.,25
dataset\audio\MC01Session1wav_headMic0145.wav,He will allow a rare lie.,25
dataset\audio\M05Session2wav_headMic0393.wav,the pair of shoes was new,25
dataset\audio\F04Session2wav_headMic0118.wav,It was a good win for us.,25
dataset\audio\F03Session3wav_headMic0099.wav,The hotel owner shrugged.,25
dataset\audio\M02Session1wav_headMic0203.wav,She is thinner than I am.,25
dataset\audio\MC03Session2wav_headMic0052.wav,We just didn't look good.,25
dataset\audio\MC03Session1wav_headMic0199.wav,I just try to do my best.,25
dataset\audio\FC03Session3wav_headMic0028.wav,Range was a vital detail.,25
dataset\audio\MC01Session1wav_headMic0161.wav,I just try to do my best.,25
dataset\audio\MC03Session1wav_headMic0358.wav,It was a good win for us.,25
dataset\audio\M03Session2wav_headMic0194.wav,I just try to do my best.,25
dataset\audio\MC01Session1wav_headMic0253.wav,It was a good win for us.,25
dataset\audio\MC04Session1wav_headMic0317.wav,It was a good win for us.,25
dataset\audio\MC02Session1wav_headMic0146.wav,I just try to do my best.,25
dataset\audio\F04Session2wav_headMic0217.wav,The hotel owner shrugged.,25
dataset\audio\FC03Session1wav_headMic0214.wav,I just try to do my best.,25
dataset\audio\MC04Session1wav_headMic0211.wav,He will allow a rare lie.,25
dataset\audio\MC03Session1wav_headMic0432.wav,The hotel owner shrugged.,25
dataset\audio\FC02Session3wav_headMic0560.wav,Range was a vital detail.,25
dataset\audio\MC04Session1wav_headMic0424.wav,Get a calico cat to keep.,25
dataset\audio\FC02Session3wav_headMic0180.wav,Get a calico cat to keep.,25
dataset\audio\MC02Session1wav_headMic0178.wav,He will allow a rare lie.,25
dataset\audio\M02Session1wav_headMic0126.wav,I just try to do my best.,25
dataset\audio\M04Session2wav_headMic0283.wav,It was a good win for us.,25
dataset\audio\F04Session2wav_headMic0032.wav,She is thinner than I am.,25
dataset\audio\FC03Session1wav_headMic0234.wav,He will allow a rare lie.,25
dataset\audio\MC01Session2wav_headMic0081.wav,The hotel owner shrugged.,25
dataset\audio\F03Session2wav_headMic0153.wav,It was a good win for us.,25
dataset\audio\FC02Session3wav_headMic0968.wav,I said I'd put on weight.,25
dataset\audio\FC02Session3wav_headMic0169.wav,The hotel owner shrugged.,25
dataset\audio\MC01Session1wav_headMic0182.wav,She is thinner than I am.,25
dataset\audio\MC01Session2wav_headMic0097.wav,Get a calico cat to keep.,25
dataset\audio\FC03Session3wav_headMic0156.wav,He took heart and played.,25
dataset\audio\FC03Session1wav_headMic0153.wav,She is thinner than I am.,25
dataset\audio\FC03Session2wav_headMic0376.wav,We just didn't look good.,25
dataset\audio\MC01Session3wav_headMic0048.wav,We just didn't look good.,25
dataset\audio\MC03Session1wav_headMic0221.wav,She is thinner than I am.,25
dataset\audio\FC03Session1wav_headMic0154.wav,She is thinner than I am.,25
dataset\audio\FC03Session2wav_headMic0104.wav,Get a calico cat to keep.,25
dataset\audio\FC01Session1wav_headMic0157.wav,I just try to do my best.,25
dataset\audio\M01Session2wav_headMic0096.wav,I just try to do my best.,25
dataset\audio\MC01Session3wav_headMic0327.wav,He took heart and played.,25
dataset\audio\FC02Session3wav_headMic0722.wav,He took heart and played.,25
dataset\audio\M01Session2wav_headMic0078.wav,She is thinner than I am.,25
dataset\audio\M05Session2wav_headMic0076.wav,She is thinner than I am.,25
dataset\audio\M01Session2wav_headMic0268.wav,It was a good win for us.,25
dataset\audio\MC02Session1wav_headMic0244.wav,She is thinner than I am.,25
dataset\audio\M05Session2wav_headMic0368.wav,Get a calico cat to keep.,25
dataset\audio\M03Session2wav_headMic0257.wav,It was a good win for us.,25
dataset\audio\M03Session2wav_headMic0421.wav,we have an excellent team,25
dataset\audio\M05Session2wav_headMic0201.wav,It was a good win for us.,25
dataset\audio\FC03Session2wav_headMic0002.wav,The hotel owner shrugged.,25
dataset\audio\MC04Session1wav_headMic0180.wav,I just try to do my best.,25
dataset\audio\FC02Session3wav_headMic0495.wav,We just didn't look good.,25
dataset\audio\MC02Session1wav_headMic0259.wav,It was a good win for us.,25
dataset\audio\F03Session3wav_headMic0050.wav,Get a calico cat to keep.,25
dataset\audio\F03Session1wav_headMic0167.wav,She is thinner than I am.,25
dataset\audio\MC03Session1wav_headMic0200.wav,He will allow a rare lie.,25
dataset\audio\M05Session2wav_headMic0390.wav,The hotel owner shrugged.,25
dataset\audio\MC04Session1wav_headMic0227.wav,She is thinner than I am.,25
dataset\audio\M03Session2wav_headMic0165.wav,He will allow a rare lie.,25
dataset\audio\FC03Session1wav_headMic0331.wav,It was a good win for us.,25
dataset\audio\M05Session2wav_headMic0107.wav,I just try to do my best.,25
dataset\audio\M05Session2wav_headMic0013.wav,He will allow a rare lie.,25
dataset\audio\FC03Session1wav_headMic0330.wav,It was a good win for us.,25
dataset\audio\FC01Session1wav_headMic0133.wav,He will allow a rare lie.,25
dataset\audio\FC02Session3wav_headMic0457.wav,I also can be quite vocal.,26
dataset\audio\MC02Session2wav_headMic0040.wav,We have an excellent team.,26
dataset\audio\FC02Session3wav_headMic0689.wav,We've done it in the past.,26
dataset\audio\FC02Session3wav_headMic0861.wav,It fell out of his pocket.,26
dataset\audio\FC02Session3wav_headMic0586.wav,I wanted to be an actress.,26
dataset\audio\F04Session2wav_headMic0244.wav,We have an excellent team.,26
dataset\audio\MC03Session2wav_headMic0105.wav,I also can be quite vocal.,26
dataset\audio\MC01Session3wav_headMic0090.wav,I wanted to be an actress.,26
dataset\audio\FC02Session3wav_headMic0863.wav,We got married right here.,26
dataset\audio\MC01Session3wav_headMic0295.wav,A few may be hard to find.,26
dataset\audio\F04Session2wav_headMic0220.wav,The pair of shoes was new.,26
dataset\audio\MC01Session2wav_headMic0123.wav,The pair of shoes was new.,26
dataset\audio\MC01Session3wav_headMic0364.wav,We got married right here.,26
dataset\audio\FC03Session3wav_headMic0073.wav,I wanted to be an actress.,26
dataset\audio\MC03Session1wav_headMic0471.wav,The pair of shoes was new.,26
dataset\audio\FC03Session2wav_headMic0313.wav,I also can be quite vocal.,26
dataset\audio\FC03Session2wav_headMic0052.wav,We have an excellent team.,26
dataset\audio\MC01Session2wav_headMic0079.wav,We have an excellent team.,26
dataset\audio\MC03Session1wav_headMic0459.wav,We have an excellent team.,26
dataset\audio\MC01Session3wav_headMic0045.wav,I also can be quite vocal.,26
dataset\audio\MC01Session3wav_headMic0316.wav,We've done it in the past.,26
dataset\audio\MC04Session1wav_headMic0440.wav,We have an excellent team.,26
dataset\audio\MC04Session1wav_headMic0400.wav,The pair of shoes was new.,26
dataset\audio\M05Session2wav_headMic0307.wav,We have an excellent team.,26
dataset\audio\FC03Session3wav_headMic0206.wav,A few may be hard to find.,26
dataset\audio\MC02Session2wav_headMic0024.wav,The pair of shoes was new.,26
dataset\audio\F03Session3wav_headMic0121.wav,The pair of shoes was new.,26
dataset\audio\FC03Session3wav_headMic0165.wav,We've done it in the past.,26
dataset\audio\FC03Session2wav_headMic0001.wav,The hotel owner struggled.,26
dataset\audio\FC03Session2wav_headMic0101.wav,The pair of shoes was new.,26
dataset\audio\MC01Session3wav_headMic0399.wav,It fell out of his pocket.,26
dataset\audio\FC02Session3wav_headMic0683.wav,A few may be hard to find.,26
dataset\audio\FC02Session3wav_headMic0218.wav,We have an excellent team.,26
dataset\audio\FC02Session3wav_headMic0167.wav,The pair of shoes was new.,26
dataset\audio\FC02Session3wav_headMic0361.wav,A quick touchdown resulted.,27
dataset\audio\FC03Session2wav_headMic0128.wav,Life is short and precious.,27
dataset\audio\MC04Session1wav_headMic0518.wav,A quick touchdown resulted.,27
dataset\audio\MC01Session3wav_headMic0400.wav,We just sat there giggling.,27
dataset\audio\MC02Session1wav_headMic0272.wav,Alfalfa is healthy for you.,27
dataset\audio\MC01Session2wav_headMic0253.wav,Life is short and precious.,27
dataset\audio\F04Session2wav_headMic0079.wav,Alfalfa is healthy for you.,27
dataset\audio\M05Session2wav_headMic0001.wav,Today's date. February 13th,27
dataset\audio\MC01Session3wav_headMic0292.wav,They'll never fit me again.,27
dataset\audio\FC02Session3wav_headMic0887.wav,We just sat there giggling.,27
dataset\audio\MC01Session2wav_headMic0192.wav,A quick touchdown resulted.,27
dataset\audio\FC03Session2wav_headMic0357.wav,I loved every minute of it.,27
dataset\audio\MC01Session3wav_headMic0132.wav,He'll sell them by the box.,27
dataset\audio\FC03Session2wav_headMic0361.wav,Gold can be found anywhere.,27
dataset\audio\M03Session2wav_headMic0338.wav,Alfalfa is healthy for you.,27
dataset\audio\FC02Session3wav_headMic0668.wav,They'll never fit me again.,27
dataset\audio\MC04Session1wav_headMic0338.wav,Alfalfa is healthy for you.,27
dataset\audio\FC02Session3wav_headMic0354.wav,Life is short and precious.,27
dataset\audio\M05Session2wav_headMic0381.wav,Although always again again,27
dataset\audio\MC01Session3wav_headMic0415.wav,So he hides the mayonnaise.,27
dataset\audio\FC03Session2wav_headMic0201.wav,A quick touchdown resulted.,27
dataset\audio\FC03Session2wav_headMic0202.wav,A quick touchdown resulted.,27
dataset\audio\FC02Session3wav_headMic0110.wav,Alfalfa is healthy for you.,27
dataset\audio\MC04Session1wav_headMic0612.wav,Life is short and precious.,27
dataset\audio\FC03Session1wav_headMic0272.wav,Alfalfa is healthy for you.,27
dataset\audio\M03Session2wav_headMic0373.wav,Carl lives in a lovely home,27
dataset\audio\MC01Session2wav_headMic0324.wav,I loved every minute of it.,27
dataset\audio\MC03Session2wav_headMic0014.wav,Life is short and precious.,27
dataset\audio\MC03Session1wav_headMic0312.wav,Alfalfa is healthy for you.,27
dataset\audio\M05Session2wav_headMic0147.wav,Alfalfa is healthy for you.,27
dataset\audio\MC03Session1wav_headMic0555.wav,A quick touchdown resulted.,27
dataset\audio\FC03Session3wav_headMic0121.wav,He'll sell them by the box.,27
dataset\audio\F03Session3wav_headMic0022.wav,She doesn't like it to have,27
dataset\audio\M02Session2wav_headMic0190.wav,Alfalfa is healthy for you.,27
dataset\audio\FC02Session3wav_headMic0807.wav,So he hides the mayonnaise.,27
dataset\audio\FC02Session3wav_headMic0430.wav,Gold can be found anywhere.,27
dataset\audio\M01Session2wav_headMic0239.wav,Alfalfa is healthy for you.,27
dataset\audio\MC01Session2wav_headMic0352.wav,Gold can be found anywhere.,27
dataset\audio\MC03Session2wav_headMic0104.wav,Gold can be found anywhere.,27
dataset\audio\FC02Session3wav_headMic0618.wav,He'll sell them by the box.,27
dataset\audio\MC01Session1wav_headMic0261.wav,Alfalfa is healthy for you.,27
dataset\audio\FC02Session3wav_headMic0435.wav,I loved every minute of it.,27
dataset\audio\MC03Session2wav_headMic0160.wav,I loved every minute of it.,27
dataset\audio\FC02Session3wav_headMic0942.wav,That plant needs more water.,28
dataset\audio\MC02Session1wav_headMic0333.wav,Carl lives in a lively home.,28
dataset\audio\MC04Session1wav_headMic0445.wav,Did dad do academic bidding?,28
dataset\audio\MC01Session2wav_headMic0024.wav,Carl lives in a lively home.,28
dataset\audio\F04Session2wav_headMic0108.wav,Carl lives in a lovely home.,28
dataset\audio\MC03Session1wav_headMic0411.wav,Did dad do academic bidding?,28
dataset\audio\F04Session2wav_headMic0109.wav,Carl lives in a lively home.,28
dataset\audio\M05Session2wav_headMic0265.wav,Carl lives in a lively home.,28
dataset\audio\MC03Session1wav_headMic0319.wav,Carl lives in a lively home.,28
dataset\audio\MC04Session1wav_headMic0444.wav,Did dad do academic bidding?,28
dataset\audio\M01Session2wav_headMic0262.wav,Carl lives in a lively home.,28
dataset\audio\FC02Session3wav_headMic0240.wav,Did dad do academic bidding?,28
dataset\audio\M05Session2wav_headMic0275.wav,Did dad do academic bidding?,28
dataset\audio\FC02Session3wav_headMic0787.wav,It looked like an accordion.,28
dataset\audio\FC03Session2wav_headMic0045.wav,Did dad do academic bidding?,28
dataset\audio\M03Session2wav_headMic0374.wav,Carl lives in a lively home.,28
dataset\audio\FC02Session3wav_headMic0821.wav,I saw him a few weeks later.,28
dataset\audio\MC01Session3wav_headMic0267.wav,It was time to go up myself.,28
dataset\audio\FC02Session3wav_headMic0753.wav,He noted the fact carefully.,28
dataset\audio\MC03Session2wav_headMic0218.wav,We all sat down and relaxed.,28
dataset\audio\FC03Session3wav_headMic0183.wav,It was time to go up myself.,28
dataset\audio\MC01Session3wav_headMic0245.wav,He noted the fact carefully.,28
dataset\audio\MC01Session2wav_headMic0171.wav,Did dad do academic bidding?,28
dataset\audio\FC02Session3wav_headMic0726.wav,It was time to go up myself.,28
dataset\audio\MC01Session3wav_headMic0392.wav,It looked like an accordion.,28
dataset\audio\FC02Session3wav_headMic0840.wav,That's the name of the game.,28
dataset\audio\F04Session2wav_headMic0207.wav,Did dad do academic bidding?,28
dataset\audio\F03Session2wav_headMic0149.wav,Carl lives in a lively home.,28
dataset\audio\FC03Session3wav_headMic0014.wav,We all sat down and relaxed.,28
dataset\audio\FC02Session3wav_headMic0085.wav,Carl lives in a lively home.,28
dataset\audio\MC01Session3wav_headMic0097.wav,We all sat down and relaxed.,28
dataset\audio\M02Session2wav_headMic0228.wav,Carl lives in a lively home.,28
dataset\audio\MC04Session1wav_headMic0325.wav,Carl lives in a lively home.,28
dataset\audio\FC03Session1wav_headMic0393.wav,Carl lives in a lively home.,28
dataset\audio\MC01Session3wav_headMic0414.wav,I saw him a few weeks later.,28
dataset\audio\FC02Session3wav_headMic0607.wav,We all sat down and relaxed.,28
dataset\audio\MC04Session1wav_headMic0255.wav,I was conscious all the time.,29
dataset\audio\M05Session2wav_headMic0207.wav,The books are very expensive.,29
dataset\audio\FC02Session3wav_headMic0486.wav,"I tell you, it was wonderful.",29
dataset\audio\M03Session2wav_headMic0179.wav,I was conscious all the time.,29
dataset\audio\MC02Session1wav_headMic0264.wav,The books are very expensive.,29
dataset\audio\MC04Session1wav_headMic0258.wav,The books are very expensive.,29
dataset\audio\F03Session1wav_headMic0116.wav,Usually minus several buttons,29
dataset\audio\MC01Session1wav_headMic0211.wav,I was conscious all the time.,29
dataset\audio\M01Session2wav_headMic0029.wav,I was conscious all the time.,29
dataset\audio\FC02Session3wav_headMic0015.wav,The books are very expensive.,29
dataset\audio\M02Session1wav_headMic0217.wav,I was conscious all the time.,29
dataset\audio\F04Session2wav_headMic0005.wav,I was conscious all the time.,29
dataset\audio\FC03Session2wav_headMic0382.wav,Worse luck was still to come.,29
dataset\audio\FC02Session3wav_headMic0939.wav,We had a picnic on the beach.,29
dataset\audio\MC01Session1wav_headMic0259.wav,The books are very expensive.,29
dataset\audio\FC03Session2wav_headMic0290.wav,"I tell you, it was wonderful.",29
dataset\audio\F03Session2wav_headMic0143.wav,The books are very expensive.,29
dataset\audio\MC03Session2wav_headMic0097.wav,"I tell you, it was wonderful.",29
dataset\audio\MC01Session3wav_headMic0034.wav,"I tell you, it was wonderful.",29
dataset\audio\FC02Session3wav_headMic0014.wav,The books are very expensive.,29
dataset\audio\FC03Session2wav_headMic0238.wav,I scream to warm up my voice.,29
dataset\audio\FC02Session3wav_headMic0388.wav,I scream to warm up my voice.,29
dataset\audio\F04Session2wav_headMic0206.wav,The books are very expensive.,29
dataset\audio\MC01Session3wav_headMic0003.wav,Worse luck was still to come.,29
dataset\audio\MC03Session1wav_headMic0373.wav,The books are very expensive.,29
dataset\audio\FC03Session1wav_headMic0369.wav,The books are very expensive.,29
dataset\audio\M04Session2wav_headMic0155.wav,I was conscious all the time.,29
dataset\audio\MC03Session1wav_headMic0202.wav,I was conscious all the time.,29
dataset\audio\MC03Session2wav_headMic0075.wav,Worse luck was still to come.,29
dataset\audio\M04Session2wav_headMic0156.wav,I was conscious all the time.,29
dataset\audio\M02Session2wav_headMic0178.wav,The books are very expensive.,29
dataset\audio\MC03Session1wav_headMic0549.wav,I scream to warm up my voice.,29
dataset\audio\FC03Session1wav_headMic0232.wav,I was conscious all the time.,29
dataset\audio\FC02Session3wav_headMic0415.wav,Worse luck was still to come.,29
dataset\audio\MC01Session2wav_headMic0176.wav,I scream to warm up my voice.,29
dataset\audio\M01Session2wav_headMic0249.wav,The books are very expensive.,29
dataset\audio\M03Session2wav_headMic0378.wav,The books are very expensive.,29
dataset\audio\MC02Session1wav_headMic0162.wav,I was conscious all the time.,29
dataset\audio\MC04Session1wav_headMic0578.wav,I scream to warm up my voice.,29
dataset\audio\M05Session2wav_headMic0124.wav,I was conscious all the time.,29
dataset\audio\F03Session1wav_headMic0195.wav,I was conscious all the time.,29
dataset\audio\M04Session2wav_headMic0191.wav,Will Robin wear a yellow lily?,30
dataset\audio\M02Session2wav_headMic0200.wav,There is a treehouse up above.,30
dataset\audio\F04Session2wav_headMic0052.wav,Their house is grey and white.,30
dataset\audio\FC03Session1wav_headMic0242.wav,Their house is grey and white.,30
dataset\audio\F04Session2wav_headMic0208.wav,A good attitude is unbeatable.,30
dataset\audio\FC03Session1wav_headMic0243.wav,Their house is grey and white.,30
dataset\audio\FC02Session3wav_headMic0325.wav,Suddenly my reflexes are gone.,30
dataset\audio\FC01Session1wav_headMic0084.wav,usually minus several buttons;,30
dataset\audio\FC01Session1wav_headMic0085.wav,usually minus several buttons;,30
dataset\audio\MC01Session3wav_headMic0238.wav,Handle it any way you have to.,30
dataset\audio\MC01Session3wav_headMic0239.wav,Handle it any way you have to.,30
dataset\audio\FC02Session3wav_headMic0836.wav,She was not seriously injured.,30
dataset\audio\MC03Session1wav_headMic0311.wav,We rode horseback to the farm.,30
dataset\audio\FC03Session2wav_headMic0197.wav,Suddenly my reflexes are gone.,30
dataset\audio\F04Session2wav_headMic0203.wav,We rode horseback to the farm.,30
dataset\audio\FC03Session2wav_headMic0175.wav,The fish swam across the pond.,30
dataset\audio\M02Session1wav_headMic0196.wav,Their house is grey and white.,30
dataset\audio\FC02Session3wav_headMic0828.wav,I got into acting by accident.,30
dataset\audio\M02Session1wav_headMic0067.wav,usually minus several buttons;,30
dataset\audio\MC03Session1wav_headMic0372.wav,There is a treehouse up above.,30
dataset\audio\FC03Session1wav_headMic0247.wav,Will Robin wear a yellow lily?,30
dataset\audio\M03Session2wav_headMic0219.wav,Will Robin wear a yellow lily?,30
dataset\audio\M01Session2wav_headMic0173.wav,We rode horseback to the farm.,30
dataset\audio\M05Session2wav_headMic0182.wav,We rode horseback to the farm.,30
dataset\audio\MC01Session1wav_headMic0020.wav,usually minus several buttons;,30
dataset\audio\MC01Session3wav_headMic0127.wav,We talked about the situation.,30
dataset\audio\M02Session2wav_headMic0232.wav,A good attitude is unbeatable.,30
dataset\audio\MC01Session2wav_headMic0118.wav,A good attitude is unbeatable.,30
dataset\audio\MC03Session2wav_headMic0134.wav,It requires no big investment.,30
dataset\audio\M02Session1wav_headMic0176.wav,Will Robin wear a yellow lily?,30
dataset\audio\M04Session2wav_headMic0295.wav,There is a treehouse up above.,30
dataset\audio\F03Session2wav_headMic0132.wav,There is a treehouse up above.,30
dataset\audio\MC04Session1wav_headMic0346.wav,We rode horseback to the farm.,30
dataset\audio\F01Session1wav_headMic0020.wav,Usually minus several buttons.,30
