audio path,prompt,length
dataset\audio\MC03Session1wav_headMic0303.wav,pit,3
dataset\audio\FC02Session3wav_headMic0389.wav,rip,3
dataset\audio\MC03Session1wav_headMic0306.wav,vat,3
dataset\audio\FC02Session3wav_headMic0387.wav,lip,3
dataset\audio\MC01Session2wav_headMic0105.wav,wit,3
dataset\audio\FC02Session3wav_headMic0381.wav,toe,3
dataset\audio\M01Session2wav_headMic0213.wav,and,3
dataset\audio\FC02Session3wav_headMic0377.wav,foe,3
dataset\audio\MC03Session1wav_headMic0322.wav,hat,3
dataset\audio\MC01Session2wav_headMic0115.wav,one,3
dataset\audio\MC01Session2wav_headMic0100.wav,red,3
dataset\audio\MC01Session2wav_headMic0133.wav,Ned,3
dataset\audio\FC02Session3wav_headMic0296.wav,old,3
dataset\audio\M01Session2wav_headMic0138.wav,pad,3
dataset\audio\MC01Session2wav_headMic0180.wav,fed,3
dataset\audio\M01Session2wav_headMic0142.wav,yes,3
dataset\audio\FC02Session3wav_headMic0467.wav,sea,3
dataset\audio\MC01Session2wav_headMic0178.wav,rid,3
dataset\audio\MC03Session1wav_headMic0245.wav,yes,3
dataset\audio\MC03Session1wav_headMic0247.wav,bad,3
dataset\audio\FC02Session3wav_headMic0460.wav,six,3
dataset\audio\MC03Session1wav_headMic0250.wav,lip,3
dataset\audio\MC01Session2wav_headMic0140.wav,sin,3
dataset\audio\MC01Session2wav_headMic0170.wav,and,3
dataset\audio\MC03Session1wav_headMic0256.wav,ate,3
dataset\audio\MC03Session1wav_headMic0261.wav,him,3
dataset\audio\FC02Session3wav_headMic0441.wav,woe,3
dataset\audio\FC02Session3wav_headMic0434.wav,she,3
dataset\audio\M01Session2wav_headMic0172.wav,bit,3
dataset\audio\M01Session2wav_headMic0175.wav,fat,3
dataset\audio\MC03Session1wav_headMic0272.wav,hum,3
dataset\audio\MC03Session1wav_headMic0278.wav,fat,3
dataset\audio\MC01Session2wav_headMic0146.wav,him,3
dataset\audio\M01Session2wav_headMic0153.wav,dot,3
dataset\audio\MC03Session1wav_headMic0384.wav,pit,3
dataset\audio\MC03Session1wav_headMic0452.wav,one,3
dataset\audio\M01Session2wav_headMic0280.wav,six,3
dataset\audio\FC02Session3wav_headMic0029.wav,bit,3
dataset\audio\MC01Session1wav_headMic0206.wav,pat,3
dataset\audio\FC02Session3wav_headMic0024.wav,six,3
dataset\audio\MC03Session2wav_headMic0004.wav,sew,3
dataset\audio\MC03Session2wav_headMic0008.wav,eat,3
dataset\audio\MC01Session1wav_headMic0198.wav,bad,3
dataset\audio\MC01Session1wav_headMic0197.wav,bat,3
dataset\audio\FC02Session3wav_headMic0013.wav,him,3
dataset\audio\MC01Session1wav_headMic0190.wav,tie,3
dataset\audio\MC01Session1wav_headMic0209.wav,bad,3
dataset\audio\MC03Session2wav_headMic0021.wav,rid,3
dataset\audio\FC01Session1wav_headMic0151.wav,ate,3
dataset\audio\FC01Session1wav_headMic0148.wav,yes,3
dataset\audio\FC01Session1wav_headMic0144.wav,ate,3
dataset\audio\MC01Session1wav_headMic0175.wav,mut,3
dataset\audio\M02Session2wav_headMic0079.wav,air,3
dataset\audio\M02Session2wav_headMic0080.wav,air,3
dataset\audio\MC03Session2wav_headMic0041.wav,sin,3
dataset\audio\M02Session2wav_headMic0082.wav,yes,3
dataset\audio\FC01Session1wav_headMic0132.wav,air,3
dataset\audio\M02Session1wav_headMic0225.wav,bat,3
dataset\audio\M02Session2wav_headMic0084.wav,bad,3
dataset\audio\MC03Session1wav_headMic0598.wav,gas,3
dataset\audio\MC03Session1wav_headMic0596.wav,lip,3
dataset\audio\FC02Session3wav_headMic0074.wav,him,3
dataset\audio\M02Session1wav_headMic0161.wav,mut,3
dataset\audio\MC03Session1wav_headMic0582.wav,ray,3
dataset\audio\M02Session1wav_headMic0164.wav,dot,3
dataset\audio\MC03Session1wav_headMic0584.wav,foe,3
dataset\audio\FC02Session3wav_headMic0063.wav,fat,3
dataset\audio\M02Session1wav_headMic0167.wav,pad,3
dataset\audio\FC02Session3wav_headMic0058.wav,pit,3
dataset\audio\FC02Session3wav_headMic0057.wav,hat,3
dataset\audio\M02Session1wav_headMic0191.wav,tie,3
dataset\audio\FC02Session3wav_headMic0056.wav,fat,3
dataset\audio\MC01Session1wav_headMic0234.wav,yes,3
dataset\audio\M02Session1wav_headMic0181.wav,bad,3
dataset\audio\MC01Session1wav_headMic0226.wav,dot,3
dataset\audio\FC02Session3wav_headMic0047.wav,hum,3
dataset\audio\MC01Session1wav_headMic0219.wav,air,3
dataset\audio\FC02Session3wav_headMic0045.wav,hem,3
dataset\audio\FC02Session3wav_headMic0044.wav,yes,3
dataset\audio\FC02Session3wav_headMic0043.wav,pit,3
dataset\audio\M02Session1wav_headMic0188.wav,ate,3
dataset\audio\M02Session1wav_headMic0170.wav,pay,3
dataset\audio\MC01Session1wav_headMic0170.wav,lip,3
dataset\audio\FC01Session1wav_headMic0128.wav,pot,3
dataset\audio\M02Session2wav_headMic0087.wav,lip,3
dataset\audio\M02Session2wav_headMic0142.wav,pit,3
dataset\audio\MC01Session1wav_headMic0122.wav,bit,3
dataset\audio\MC03Session2wav_headMic0096.wav,row,3
dataset\audio\M02Session2wav_headMic0147.wav,him,3
dataset\audio\MC03Session2wav_headMic0099.wav,six,3
dataset\audio\FC01Session1wav_headMic0049.wav,air,3
dataset\audio\MC01Session1wav_headMic0114.wav,tip,3
dataset\audio\M02Session2wav_headMic0156.wav,yes,3
dataset\audio\FC01Session1wav_headMic0042.wav,bug,3
dataset\audio\M02Session2wav_headMic0141.wav,pit,3
dataset\audio\MC01Session1wav_headMic0110.wav,yes,3
dataset\audio\MC03Session2wav_headMic0111.wav,she,3
dataset\audio\FC01Session1wav_headMic0034.wav,tip,3
dataset\audio\MC01Session1wav_headMic0099.wav,car,3
dataset\audio\FC01Session1wav_headMic0029.wav,bit,3
dataset\audio\FC01Session1wav_headMic0022.wav,yes,3
dataset\audio\MC03Session2wav_headMic0126.wav,see,3
dataset\audio\FC01Session1wav_headMic0016.wav,the,3
dataset\audio\M02Session2wav_headMic0176.wav,hum,3
dataset\audio\MC01Session1wav_headMic0097.wav,sip,3
dataset\audio\MC01Session1wav_headMic0106.wav,the,3
dataset\audio\M02Session2wav_headMic0140.wav,pit,3
dataset\audio\MC03Session2wav_headMic0093.wav,ash,3
dataset\audio\M02Session2wav_headMic0135.wav,bit,3
dataset\audio\FC01Session1wav_headMic0122.wav,one,3
dataset\audio\M02Session2wav_headMic0094.wav,pat,3
dataset\audio\M02Session2wav_headMic0095.wav,and,3
dataset\audio\FC01Session1wav_headMic0118.wav,car,3
dataset\audio\MC03Session2wav_headMic0057.wav,six,3
dataset\audio\M02Session2wav_headMic0099.wav,fat,3
dataset\audio\FC01Session1wav_headMic0110.wav,air,3
dataset\audio\MC03Session2wav_headMic0066.wav,tea,3
dataset\audio\MC03Session2wav_headMic0069.wav,sea,3
dataset\audio\FC01Session1wav_headMic0101.wav,two,3
dataset\audio\FC01Session1wav_headMic0100.wav,sip,3
dataset\audio\FC01Session1wav_headMic0099.wav,bat,3
dataset\audio\MC01Session1wav_headMic0151.wav,pot,3
dataset\audio\MC01Session1wav_headMic0149.wav,pay,3
dataset\audio\M02Session2wav_headMic0114.wav,vat,3
dataset\audio\FC01Session1wav_headMic0089.wav,sip,3
dataset\audio\FC01Session1wav_headMic0086.wav,for,3
dataset\audio\MC01Session1wav_headMic0147.wav,pad,3
dataset\audio\M02Session2wav_headMic0123.wav,hem,3
dataset\audio\MC01Session1wav_headMic0138.wav,ate,3
dataset\audio\FC01Session1wav_headMic0070.wav,fee,3
dataset\audio\M02Session1wav_headMic0156.wav,pot,3
dataset\audio\MC01Session2wav_headMic0042.wav,fat,3
dataset\audio\MC01Session1wav_headMic0249.wav,ate,3
dataset\audio\MC03Session1wav_headMic0566.wav,tug,3
dataset\audio\MC01Session2wav_headMic0011.wav,bit,3
dataset\audio\MC01Session2wav_headMic0003.wav,him,3
dataset\audio\MC03Session1wav_headMic0441.wav,Ned,3
dataset\audio\M02Session1wav_headMic0042.wav,tip,3
dataset\audio\FC02Session3wav_headMic0227.wav,nod,3
dataset\audio\M02Session1wav_headMic0045.wav,yes,3
dataset\audio\FC02Session3wav_headMic0220.wav,him,3
dataset\audio\FC02Session3wav_headMic0575.wav,had,3
dataset\audio\M02Session1wav_headMic0051.wav,bat,3
dataset\audio\FC02Session3wav_headMic0243.wav,tin,3
dataset\audio\MC01Session1wav_headMic0323.wav,hem,3
dataset\audio\FC02Session3wav_headMic0207.wav,sin,3
dataset\audio\M02Session1wav_headMic0063.wav,car,3
dataset\audio\MC03Session1wav_headMic0466.wav,him,3
dataset\audio\MC03Session1wav_headMic0470.wav,two,3
dataset\audio\FC02Session3wav_headMic0197.wav,yes,3
dataset\audio\FC02Session3wav_headMic0195.wav,zip,3
dataset\audio\FC02Session3wav_headMic0192.wav,sit,3
dataset\audio\FC02Session3wav_headMic0190.wav,Ned,3
dataset\audio\FC02Session3wav_headMic0189.wav,two,3
dataset\audio\MC03Session1wav_headMic0463.wav,nod,3
dataset\audio\FC02Session3wav_headMic0188.wav,nut,3
dataset\audio\MC03Session1wav_headMic0423.wav,yes,3
dataset\audio\M02Session1wav_headMic0027.wav,the,3
dataset\audio\MC03Session1wav_headMic0385.wav,shy,3
dataset\audio\M01Session2wav_headMic0281.wav,pit,3
dataset\audio\M01Session2wav_headMic0283.wav,hat,3
dataset\audio\M01Session2wav_headMic0285.wav,yes,3
dataset\audio\MC03Session1wav_headMic0388.wav,hem,3
dataset\audio\MC03Session1wav_headMic0391.wav,nut,3
dataset\audio\M02Session1wav_headMic0009.wav,pat,3
dataset\audio\M02Session1wav_headMic0012.wav,sip,3
dataset\audio\MC03Session1wav_headMic0396.wav,red,3
dataset\audio\M02Session1wav_headMic0029.wav,one,3
dataset\audio\FC02Session3wav_headMic0271.wav,sin,3
dataset\audio\FC02Session3wav_headMic0262.wav,fed,3
dataset\audio\M02Session1wav_headMic0022.wav,bit,3
dataset\audio\MC01Session2wav_headMic0016.wav,vat,3
dataset\audio\MC03Session1wav_headMic0410.wav,tin,3
dataset\audio\MC03Session1wav_headMic0413.wav,sip,3
dataset\audio\FC02Session3wav_headMic0254.wav,air,3
dataset\audio\MC03Session1wav_headMic0414.wav,sip,3
dataset\audio\FC02Session3wav_headMic0252.wav,wit,3
dataset\audio\MC03Session1wav_headMic0415.wav,sin,3
dataset\audio\FC02Session3wav_headMic0266.wav,sew,3
dataset\audio\M02Session1wav_headMic0078.wav,sip,3
dataset\audio\FC02Session3wav_headMic0178.wav,ham,3
dataset\audio\MC03Session1wav_headMic0487.wav,sit,3
dataset\audio\MC01Session1wav_headMic0283.wav,pit,3
dataset\audio\MC01Session1wav_headMic0282.wav,him,3
dataset\audio\M02Session1wav_headMic0119.wav,two,3
dataset\audio\MC01Session1wav_headMic0280.wav,hat,3
dataset\audio\MC03Session1wav_headMic0529.wav,yes,3
dataset\audio\FC02Session3wav_headMic0119.wav,top,3
dataset\audio\MC03Session1wav_headMic0532.wav,see,3
dataset\audio\MC03Session1wav_headMic0533.wav,eat,3
dataset\audio\MC01Session1wav_headMic0271.wav,yes,3
dataset\audio\MC03Session1wav_headMic0523.wav,toe,3
dataset\audio\MC03Session1wav_headMic0539.wav,sew,3
dataset\audio\MC03Session1wav_headMic0542.wav,rip,3
dataset\audio\MC01Session1wav_headMic0269.wav,and,3
dataset\audio\MC03Session1wav_headMic0545.wav,sew,3
dataset\audio\M02Session1wav_headMic0138.wav,ate,3
dataset\audio\FC02Session3wav_headMic0097.wav,and,3
dataset\audio\MC01Session1wav_headMic0266.wav,six,3
dataset\audio\MC01Session1wav_headMic0265.wav,fat,3
dataset\audio\FC02Session3wav_headMic0091.wav,vat,3
dataset\audio\MC03Session1wav_headMic0565.wav,dug,3
dataset\audio\MC03Session1wav_headMic0541.wav,lee,3
dataset\audio\MC01Session1wav_headMic0284.wav,top,3
dataset\audio\M02Session1wav_headMic0110.wav,for,3
dataset\audio\M02Session1wav_headMic0109.wav,bug,3
dataset\audio\MC03Session1wav_headMic0488.wav,and,3
dataset\audio\FC02Session3wav_headMic0175.wav,sip,3
dataset\audio\FC02Session3wav_headMic0174.wav,one,3
dataset\audio\M02Session1wav_headMic0085.wav,fee,3
dataset\audio\MC03Session1wav_headMic0489.wav,zip,3
dataset\audio\MC03Session1wav_headMic0491.wav,ham,3
dataset\audio\M02Session1wav_headMic0091.wav,sip,3
dataset\audio\M02Session1wav_headMic0093.wav,dug,3
dataset\audio\MC03Session1wav_headMic0501.wav,wit,3
dataset\audio\MC03Session1wav_headMic0504.wav,sin,3
dataset\audio\FC02Session3wav_headMic0157.wav,sin,3
dataset\audio\MC03Session1wav_headMic0505.wav,bed,3
dataset\audio\MC03Session1wav_headMic0507.wav,fed,3
dataset\audio\MC03Session1wav_headMic0508.wav,air,3
dataset\audio\MC01Session1wav_headMic0294.wav,hum,3
dataset\audio\FC02Session3wav_headMic0147.wav,and,3
dataset\audio\FC02Session3wav_headMic0146.wav,bed,3
dataset\audio\M02Session1wav_headMic0102.wav,air,3
dataset\audio\MC03Session1wav_headMic0514.wav,red,3
dataset\audio\M02Session1wav_headMic0104.wav,air,3
dataset\audio\MC03Session1wav_headMic0517.wav,old,3
dataset\audio\FC02Session3wav_headMic0079.wav,shy,3
dataset\audio\MC01Session2wav_headMic0240.wav,air,3
dataset\audio\FC02Session3wav_headMic0645.wav,cat,3
dataset\audio\FC02Session3wav_headMic0582.wav,arm,3
dataset\audio\MC02Session1wav_headMic0172.wav,tie,3
dataset\audio\FC03Session2wav_headMic0291.wav,see,3
dataset\audio\MC01Session3wav_headMic0182.wav,pit,3
dataset\audio\FC03Session2wav_headMic0299.wav,six,3
dataset\audio\FC03Session2wav_headMic0300.wav,row,3
dataset\audio\MC01Session3wav_headMic0175.wav,lip,3
dataset\audio\MC01Session3wav_headMic0174.wav,ate,3
dataset\audio\MC02Session1wav_headMic0191.wav,pad,3
dataset\audio\MC02Session1wav_headMic0192.wav,pad,3
dataset\audio\FC03Session2wav_headMic0314.wav,six,3
dataset\audio\FC03Session1wav_headMic0147.wav,pad,3
dataset\audio\MC02Session1wav_headMic0197.wav,ate,3
dataset\audio\FC03Session1wav_headMic0141.wav,ate,3
dataset\audio\FC03Session2wav_headMic0319.wav,one,3
dataset\audio\FC03Session1wav_headMic0139.wav,dot,3
dataset\audio\MC01Session3wav_headMic0161.wav,fat,3
dataset\audio\MC02Session1wav_headMic0201.wav,pay,3
dataset\audio\MC02Session1wav_headMic0204.wav,bad,3
dataset\audio\MC02Session1wav_headMic0206.wav,dot,3
dataset\audio\MC01Session3wav_headMic0158.wav,pit,3
dataset\audio\FC03Session1wav_headMic0126.wav,one,3
dataset\audio\MC02Session1wav_headMic0168.wav,ate,3
dataset\audio\FC03Session1wav_headMic0119.wav,for,3
dataset\audio\MC01Session3wav_headMic0196.wav,had,3
dataset\audio\MC01Session3wav_headMic0199.wav,aid,3
dataset\audio\FC03Session2wav_headMic0246.wav,eat,3
dataset\audio\MC02Session1wav_headMic0124.wav,lip,3
dataset\audio\MC01Session3wav_headMic0216.wav,end,3
dataset\audio\MC01Session3wav_headMic0215.wav,rip,3
dataset\audio\MC01Session3wav_headMic0212.wav,hat,3
dataset\audio\FC03Session1wav_headMic0211.wav,yes,3
dataset\audio\FC03Session2wav_headMic0261.wav,rip,3
dataset\audio\FC03Session2wav_headMic0262.wav,gas,3
dataset\audio\MC01Session3wav_headMic0210.wav,are,3
dataset\audio\FC03Session1wav_headMic0200.wav,lip,3
dataset\audio\FC03Session2wav_headMic0265.wav,dug,3
dataset\audio\MC01Session3wav_headMic0209.wav,hat,3
dataset\audio\FC03Session2wav_headMic0267.wav,tug,3
dataset\audio\FC03Session2wav_headMic0268.wav,fed,3
dataset\audio\MC01Session3wav_headMic0208.wav,lit,3
dataset\audio\MC01Session3wav_headMic0206.wav,add,3
dataset\audio\MC01Session3wav_headMic0204.wav,low,3
dataset\audio\FC03Session1wav_headMic0192.wav,tie,3
dataset\audio\MC01Session3wav_headMic0203.wav,add,3
dataset\audio\FC03Session1wav_headMic0186.wav,mut,3
dataset\audio\FC03Session1wav_headMic0183.wav,bad,3
dataset\audio\FC03Session2wav_headMic0283.wav,fit,3
dataset\audio\MC02Session1wav_headMic0216.wav,mut,3
dataset\audio\FC03Session2wav_headMic0337.wav,tea,3
dataset\audio\MC02Session1wav_headMic0218.wav,pat,3
dataset\audio\MC01Session3wav_headMic0138.wav,pet,3
dataset\audio\MC01Session3wav_headMic0136.wav,wax,3
dataset\audio\MC02Session1wav_headMic0255.wav,shy,3
dataset\audio\MC02Session1wav_headMic0256.wav,shy,3
dataset\audio\MC02Session1wav_headMic0258.wav,pit,3
dataset\audio\MC02Session1wav_headMic0260.wav,fat,3
dataset\audio\FC03Session1wav_headMic0050.wav,dug,3
dataset\audio\MC01Session3wav_headMic0125.wav,row,3
dataset\audio\FC03Session2wav_headMic0383.wav,two,3
dataset\audio\MC02Session1wav_headMic0268.wav,top,3
dataset\audio\FC03Session1wav_headMic0045.wav,tip,3
dataset\audio\FC03Session1wav_headMic0043.wav,two,3
dataset\audio\FC03Session1wav_headMic0042.wav,bat,3
dataset\audio\FC03Session1wav_headMic0039.wav,the,3
dataset\audio\MC01Session3wav_headMic0122.wav,dug,3
dataset\audio\FC03Session3wav_headMic0003.wav,pet,3
dataset\audio\FC03Session3wav_headMic0004.wav,row,3
dataset\audio\FC03Session3wav_headMic0006.wav,lax,3
dataset\audio\FC03Session3wav_headMic0008.wav,see,3
dataset\audio\FC03Session3wav_headMic0009.wav,cat,3
dataset\audio\FC03Session1wav_headMic0025.wav,air,3
dataset\audio\FC03Session2wav_headMic0371.wav,woe,3
dataset\audio\FC03Session2wav_headMic0370.wav,six,3
dataset\audio\MC01Session3wav_headMic0139.wav,pet,3
dataset\audio\MC01Session3wav_headMic0140.wav,pet,3
dataset\audio\MC02Session1wav_headMic0220.wav,bad,3
dataset\audio\FC03Session1wav_headMic0107.wav,fee,3
dataset\audio\MC01Session3wav_headMic0153.wav,pat,3
dataset\audio\MC02Session1wav_headMic0222.wav,pot,3
dataset\audio\FC03Session1wav_headMic0104.wav,bug,3
dataset\audio\FC03Session2wav_headMic0341.wav,she,3
dataset\audio\FC03Session1wav_headMic0102.wav,sip,3
dataset\audio\FC03Session1wav_headMic0098.wav,bit,3
dataset\audio\MC01Session3wav_headMic0150.wav,cat,3
dataset\audio\MC01Session3wav_headMic0149.wav,pat,3
dataset\audio\FC03Session1wav_headMic0226.wav,ate,3
dataset\audio\MC02Session1wav_headMic0224.wav,bat,3
dataset\audio\FC03Session2wav_headMic0351.wav,sea,3
dataset\audio\FC03Session1wav_headMic0088.wav,sip,3
dataset\audio\MC01Session3wav_headMic0144.wav,see,3
dataset\audio\FC03Session2wav_headMic0359.wav,ape,3
dataset\audio\MC02Session1wav_headMic0238.wav,yes,3
dataset\audio\MC01Session3wav_headMic0143.wav,ail,3
dataset\audio\FC03Session1wav_headMic0076.wav,yes,3
dataset\audio\FC03Session1wav_headMic0074.wav,car,3
dataset\audio\MC02Session1wav_headMic0243.wav,air,3
dataset\audio\FC03Session1wav_headMic0070.wav,air,3
dataset\audio\FC03Session2wav_headMic0349.wav,ash,3
dataset\audio\FC03Session2wav_headMic0241.wav,red,3
dataset\audio\MC02Session1wav_headMic0117.wav,air,3
dataset\audio\FC03Session2wav_headMic0235.wav,eat,3
dataset\audio\MC01Session3wav_headMic0397.wav,bat,3
dataset\audio\MC01Session3wav_headMic0309.wav,low,3
dataset\audio\FC03Session1wav_headMic0403.wav,him,3
dataset\audio\MC01Session3wav_headMic0306.wav,hid,3
dataset\audio\MC01Session3wav_headMic0300.wav,had,3
dataset\audio\MC01Session3wav_headMic0411.wav,all,3
dataset\audio\MC01Session3wav_headMic0294.wav,hat,3
dataset\audio\MC01Session3wav_headMic0287.wav,row,3
dataset\audio\MC02Session1wav_headMic0012.wav,dug,3
dataset\audio\FC03Session1wav_headMic0379.wav,shy,3
dataset\audio\MC01Session3wav_headMic0285.wav,owe,3
dataset\audio\MC01Session3wav_headMic0281.wav,had,3
dataset\audio\FC03Session1wav_headMic0370.wav,him,3
dataset\audio\FC03Session2wav_headMic0149.wav,ray,3
dataset\audio\FC03Session2wav_headMic0151.wav,sew,3
dataset\audio\MC01Session3wav_headMic0272.wav,was,3
dataset\audio\FC03Session2wav_headMic0155.wav,toe,3
dataset\audio\MC02Session1wav_headMic0029.wav,fee,3
dataset\audio\FC03Session1wav_headMic0354.wav,six,3
dataset\audio\FC03Session1wav_headMic0351.wav,hem,3
dataset\audio\FC03Session1wav_headMic0348.wav,top,3
dataset\audio\FC03Session2wav_headMic0007.wav,tin,3
dataset\audio\MC01Session3wav_headMic0388.wav,sat,3
dataset\audio\MC01Session3wav_headMic0322.wav,all,3
dataset\audio\MC01Session3wav_headMic0377.wav,bat,3
dataset\audio\FC03Session2wav_headMic0064.wav,one,3
dataset\audio\MC01Session3wav_headMic0343.wav,big,3
dataset\audio\FC03Session2wav_headMic0069.wav,sin,3
dataset\audio\FC03Session2wav_headMic0074.wav,him,3
dataset\audio\FC03Session2wav_headMic0047.wav,Ned,3
dataset\audio\FC03Session2wav_headMic0076.wav,red,3
dataset\audio\MC01Session3wav_headMic0363.wav,mat,3
dataset\audio\FC03Session2wav_headMic0044.wav,wit,3
dataset\audio\MC01Session3wav_headMic0341.wav,ban,3
dataset\audio\FC03Session2wav_headMic0041.wav,sip,3
dataset\audio\MC02Session1wav_headMic0035.wav,bat,3
dataset\audio\FC03Session2wav_headMic0080.wav,sit,3
dataset\audio\MC01Session3wav_headMic0340.wav,map,3
dataset\audio\FC03Session2wav_headMic0035.wav,nut,3
dataset\audio\FC03Session2wav_headMic0032.wav,nod,3
dataset\audio\FC03Session2wav_headMic0087.wav,yes,3
dataset\audio\FC03Session2wav_headMic0089.wav,two,3
dataset\audio\FC03Session2wav_headMic0091.wav,zip,3
dataset\audio\FC03Session2wav_headMic0093.wav,sin,3
dataset\audio\FC03Session2wav_headMic0024.wav,bed,3
dataset\audio\FC03Session2wav_headMic0020.wav,and,3
dataset\audio\MC01Session3wav_headMic0326.wav,bed,3
