audio path,prompt
dataset\audio\F01Session1wav_headMic0044.wav,grow
dataset\audio\F01Session1wav_headMic0045.wav,bit
dataset\audio\F01Session1wav_headMic0046.wav,chair
dataset\audio\F01Session1wav_headMic0047.wav,one
dataset\audio\F01Session1wav_headMic0048.wav,fair
dataset\audio\F01Session1wav_headMic0049.wav,two
dataset\audio\F01Session1wav_headMic0050.wav,beta
dataset\audio\F01Session1wav_headMic0051.wav,rage
dataset\audio\F01Session1wav_headMic0052.wav,spark
dataset\audio\F01Session1wav_headMic0053.wav,swarm
dataset\audio\F01Session1wav_headMic0054.wav,beat
dataset\audio\F01Session1wav_headMic0057.wav,race
dataset\audio\F01Session1wav_headMic0058.wav,the
dataset\audio\F01Session1wav_headMic0059.wav,the
dataset\audio\F01Session1wav_headMic0060.wav,form
dataset\audio\F01Session1wav_headMic0061.wav,dark
dataset\audio\F01Session1wav_headMic0062.wav,sip
dataset\audio\F01Session1wav_headMic0063.wav,farm
dataset\audio\F01Session1wav_headMic0064.wav,raid
dataset\audio\F01Session1wav_headMic0065.wav,fee
dataset\audio\F01Session1wav_headMic0066.wav,weed
dataset\audio\F01Session1wav_headMic0069.wav,bat
dataset\audio\F01Session1wav_headMic0070.wav,horn
dataset\audio\F01Session1wav_headMic0071.wav,jagged
dataset\audio\F01Session1wav_headMic0072.wav,sheet
dataset\audio\F01Session1wav_headMic0073.wav,chair
dataset\audio\F01Session1wav_headMic0074.wav,bubble
dataset\audio\F01Session1wav_headMic0075.wav,warm
dataset\audio\F01Session1wav_headMic0076.wav,ship
dataset\audio\F01Session1wav_headMic0079.wav,air
dataset\audio\F01Session1wav_headMic0080.wav,hair
dataset\audio\F01Session1wav_headMic0081.wav,share
dataset\audio\F01Session1wav_headMic0082.wav,rate
dataset\audio\F01Session1wav_headMic0083.wav,goat
dataset\audio\F01Session1wav_headMic0084.wav,trace
dataset\audio\F01Session1wav_headMic0085.wav,sip
dataset\audio\F01Session1wav_headMic0086.wav,go
dataset\audio\F01Session1wav_headMic0087.wav,alpha
dataset\audio\F01Session1wav_headMic0088.wav,left
dataset\audio\F01Session1wav_headMic0089.wav,sticks
dataset\audio\F01Session1wav_headMic0090.wav,trouble
dataset\audio\F01Session1wav_headMic0091.wav,dagger
dataset\audio\F01Session1wav_headMic0093.wav,"A long, flowing beard clings to his chin,"
dataset\audio\F01Session1wav_headMic0094.wav,slip
dataset\audio\F01Session1wav_headMic0095.wav,glow
dataset\audio\F01Session1wav_headMic0097.wav,trade
dataset\audio\F01Session1wav_headMic0098.wav,range
dataset\audio\F01Session1wav_headMic0099.wav,stubble
dataset\audio\F01Session1wav_headMic0100.wav,floor
dataset\audio\F01Session1wav_headMic0101.wav,bug
dataset\audio\F01Session1wav_headMic0102.wav,bug
dataset\audio\F01Session1wav_headMic0104.wav,yet he still thinks as swiftly as ever.
dataset\audio\F01Session1wav_headMic0105.wav,yet he still thinks as swiftly as ever.
dataset\audio\F01Session1wav_headMic0106.wav,yet he still thinks as swiftly as ever.
dataset\audio\F01Session1wav_headMic0108.wav,jacket
dataset\audio\F01Session1wav_headMic0109.wav,born
dataset\audio\F01Session1wav_headMic0110.wav,warm
dataset\audio\F01Session1wav_headMic0111.wav,corn
dataset\audio\F01Session1wav_headMic0112.wav,right
dataset\audio\F01Session1wav_headMic0113.wav,knew
dataset\audio\F01Session1wav_headMic0114.wav,"Well, he is nearly ninety three years old"
dataset\audio\F01Session1wav_headMic0115.wav,feed
dataset\audio\F01Session1wav_headMic0116.wav,Twice each day he plays skillfully and with zest upon our small organ.
dataset\audio\F01Session1wav_headMic0117.wav,feed
dataset\audio\F01Session1wav_headMic0118.wav,knew
dataset\audio\F01Session1wav_headMic0119.wav,rain
dataset\audio\F01Session1wav_headMic0121.wav,park
dataset\audio\F01Session1wav_headMic0122.wav,tip
dataset\audio\F01Session1wav_headMic0123.wav,down
dataset\audio\F01Session1wav_headMic0124.wav,gadget
dataset\audio\F01Session1wav_headMic0125.wav,store
dataset\audio\F01Session1wav_headMic0126.wav,"he dresses himself in an ancient black frock coat,"
dataset\audio\F01Session1wav_headMic0128.wav,storm
dataset\audio\F01Session1wav_headMic0129.wav,storm
dataset\audio\F01Session1wav_headMic0130.wav,Grandfather likes to be modern in his language.
dataset\audio\F01Session1wav_headMic0131.wav,torn
dataset\audio\F01Session1wav_headMic0132.wav,"When he speaks, his voice is just a bit cracked and quivers a trifle."
dataset\audio\F01Session1wav_headMic0133.wav,trait
dataset\audio\F01Session1wav_headMic0134.wav,yes
dataset\audio\F03Session1wav_headMic0005.wav,beta
dataset\audio\F03Session1wav_headMic0006.wav,stubble
dataset\audio\F03Session1wav_headMic0007.wav,stubble
dataset\audio\F03Session1wav_headMic0008.wav,trace
dataset\audio\F03Session1wav_headMic0009.wav,goat
dataset\audio\F03Session1wav_headMic0010.wav,form
dataset\audio\F03Session1wav_headMic0011.wav,She had your dark suit in greasy wash water all year.
dataset\audio\F03Session1wav_headMic0012.wav,"Well, he is nearly ninety-three years old."
dataset\audio\F03Session1wav_headMic0013.wav,knew
dataset\audio\F03Session1wav_headMic0014.wav,sip
dataset\audio\F03Session1wav_headMic0015.wav,alpha
dataset\audio\F03Session1wav_headMic0016.wav,swarm
dataset\audio\F03Session1wav_headMic0017.wav,jacket
dataset\audio\F03Session1wav_headMic0018.wav,rate
dataset\audio\F03Session1wav_headMic0021.wav,trade
dataset\audio\F03Session1wav_headMic0022.wav,for
dataset\audio\F03Session1wav_headMic0024.wav,Twice each day he plays skillfully and with zest upon our little organ.
dataset\audio\F03Session1wav_headMic0025.wav,Twice each day he plays skillfully and with zest upon our small organ.
dataset\audio\F03Session1wav_headMic0026.wav,grow
dataset\audio\F03Session1wav_headMic0027.wav,know
dataset\audio\F03Session1wav_headMic0028.wav,"We have often urged him to walk more and smoke less,"
dataset\audio\F03Session1wav_headMic0030.wav,Except in the winter when the ozone or snow or ice prevents.
dataset\audio\F03Session1wav_headMic0031.wav,"Except in the winter when the ooze or snow or ice prevents,"
dataset\audio\F03Session1wav_headMic0032.wav,fair
dataset\audio\F03Session1wav_headMic0033.wav,weed
dataset\audio\F03Session1wav_headMic0034.wav,spark
dataset\audio\F03Session1wav_headMic0036.wav,hair
dataset\audio\F03Session1wav_headMic0037.wav,"A long, flowing beard clings to his chin,"
dataset\audio\F03Session1wav_headMic0038.wav,air
dataset\audio\F03Session1wav_headMic0039.wav,chair
dataset\audio\F03Session1wav_headMic0040.wav,sip
dataset\audio\F03Session1wav_headMic0041.wav,two
dataset\audio\F03Session1wav_headMic0043.wav,right
dataset\audio\F03Session1wav_headMic0044.wav,sheet
dataset\audio\F03Session1wav_headMic0045.wav,ship
dataset\audio\F03Session1wav_headMic0046.wav,bag
dataset\audio\F03Session1wav_headMic0047.wav,bug
dataset\audio\F03Session1wav_headMic0048.wav,park
dataset\audio\F03Session1wav_headMic0049.wav,yes
dataset\audio\F03Session1wav_headMic0050.wav,feet
dataset\audio\F03Session1wav_headMic0051.wav,rage
dataset\audio\F03Session1wav_headMic0052.wav,feed
dataset\audio\F03Session1wav_headMic0053.wav,You wished to know all about my grandfather.
dataset\audio\F03Session1wav_headMic0054.wav,bat
dataset\audio\F03Session1wav_headMic0055.wav,Grandfather likes to be modern in his language.
dataset\audio\F03Session1wav_headMic0056.wav,stick
dataset\audio\F03Session1wav_headMic0057.wav,train
dataset\audio\F03Session1wav_headMic0058.wav,horn
dataset\audio\F03Session1wav_headMic0059.wav,rake
dataset\audio\F03Session1wav_headMic0060.wav,floor
dataset\audio\F03Session1wav_headMic0061.wav,dagger
dataset\audio\F03Session1wav_headMic0062.wav,rain
dataset\audio\F03Session1wav_headMic0063.wav,gadget
dataset\audio\F03Session1wav_headMic0064.wav,one
dataset\audio\F03Session1wav_headMic0065.wav,rave
dataset\audio\F03Session1wav_headMic0066.wav,bubble
dataset\audio\F03Session1wav_headMic0067.wav,gnaw
dataset\audio\F03Session1wav_headMic0068.wav,range
dataset\audio\F03Session1wav_headMic0069.wav,down
dataset\audio\F03Session1wav_headMic0070.wav,giving those who observe him a pronounced feeling of the utmost respect.
dataset\audio\F03Session1wav_headMic0071.wav,trait
dataset\audio\F03Session1wav_headMic0072.wav,he slowly takes a short walk in the open air each day.
dataset\audio\F03Session1wav_headMic0073.wav,knee
dataset\audio\F03Session1wav_headMic0074.wav,dark
dataset\audio\F03Session1wav_headMic0075.wav,"he dresses himself in an ancient black frock coat,"
dataset\audio\F03Session1wav_headMic0076.wav,born
dataset\audio\F03Session1wav_headMic0077.wav,go
dataset\audio\F03Session1wav_headMic0078.wav,bit
dataset\audio\F03Session1wav_headMic0079.wav,race
dataset\audio\F03Session1wav_headMic0080.wav,store
dataset\audio\F03Session1wav_headMic0081.wav,torn
dataset\audio\F03Session1wav_headMic0082.wav,share
dataset\audio\F03Session1wav_headMic0083.wav,corn
dataset\audio\F03Session1wav_headMic0084.wav,double
dataset\audio\F03Session1wav_headMic0085.wav,trouble
dataset\audio\F03Session1wav_headMic0086.wav,sticks
dataset\audio\F03Session1wav_headMic0087.wav,storm
dataset\audio\F03Session1wav_headMic0090.wav,jagged
dataset\audio\F03Session1wav_headMic0091.wav,tip
dataset\audio\F03Session1wav_headMic0092.wav,swore
dataset\audio\F03Session1wav_headMic0093.wav,car
dataset\audio\F03Session1wav_headMic0094.wav,feet
dataset\audio\F03Session1wav_headMic0095.wav,"When he speaks, his voice is just a bit cracked and quivers a trifle."
dataset\audio\F03Session1wav_headMic0096.wav,Don't ask me to carry an oily rag like that.
dataset\audio\F03Session1wav_headMic0097.wav,pat
dataset\audio\F03Session1wav_headMic0098.wav,raid
dataset\audio\F03Session1wav_headMic0099.wav,slip
dataset\audio\F03Session1wav_headMic0102.wav,the
dataset\audio\F03Session1wav_headMic0104.wav,beat
dataset\audio\F03Session1wav_headMic0105.wav,swarm
dataset\audio\F03Session1wav_headMic0106.wav,beat
dataset\audio\F03Session1wav_headMic0107.wav,The quick brown fox jumps over the lazy dog.
dataset\audio\F03Session1wav_headMic0108.wav,air
dataset\audio\F03Session1wav_headMic0109.wav,farm
dataset\audio\F03Session1wav_headMic0110.wav,up
dataset\audio\F03Session1wav_headMic0111.wav,warm
dataset\audio\F03Session1wav_headMic0112.wav,left
dataset\audio\F03Session1wav_headMic0113.wav,sip
dataset\audio\F03Session1wav_headMic0114.wav,knew
dataset\audio\F03Session1wav_headMic0115.wav,yet he still thinks as swiftly as ever.
dataset\audio\F03Session1wav_headMic0116.wav,Usually minus several buttons
dataset\audio\F03Session1wav_headMic0117.wav,chair
dataset\audio\F03Session1wav_headMic0118.wav,no
dataset\audio\F03Session1wav_headMic0119.wav,warm
dataset\audio\F03Session1wav_headMic0120.wav,meat
dataset\audio\F03Session1wav_headMic0121.wav,"but he always answers, Banana oil!"
dataset\audio\F03Session1wav_headMic0124.wav,feed
dataset\audio\F03Session1wav_headMic0125.wav,fee
dataset\audio\F03Session1wav_headMic0126.wav,dug
dataset\audio\F03Session1wav_headMic0127.wav,storm
dataset\audio\F03Session1wav_headMic0128.wav,select
dataset\audio\F03Session1wav_headMic0129.wav,bad
dataset\audio\F03Session1wav_headMic0130.wav,gnaw
dataset\audio\F03Session1wav_headMic0131.wav,pat
dataset\audio\F03Session1wav_headMic0132.wav,pile
dataset\audio\F03Session1wav_headMic0133.wav,bad
dataset\audio\F03Session1wav_headMic0134.wav,shear
dataset\audio\F03Session1wav_headMic0135.wav,I looked up and noticed two old men.
dataset\audio\F03Session1wav_headMic0136.wav,of
dataset\audio\F03Session1wav_headMic0137.wav,suit
dataset\audio\F03Session1wav_headMic0138.wav,we're
dataset\audio\F03Session1wav_headMic0139.wav,back
dataset\audio\F03Session1wav_headMic0140.wav,steer
dataset\audio\F03Session1wav_headMic0141.wav,Jane may earn more money by working hard.
dataset\audio\F03Session1wav_headMic0142.wav,Just one side got wet.
dataset\audio\F03Session1wav_headMic0143.wav,ate
dataset\audio\F03Session1wav_headMic0144.wav,I scrubbed the floors thoroughly.
dataset\audio\F03Session1wav_headMic0145.wav,fruit
dataset\audio\F03Session1wav_headMic0146.wav,sigh
dataset\audio\F03Session1wav_headMic0147.wav,troop
dataset\audio\F03Session1wav_headMic0148.wav,Nothing is as offensive as innocence.
dataset\audio\F03Session1wav_headMic0150.wav,The train approached the depot slowly.
dataset\audio\F03Session1wav_headMic0151.wav,light
dataset\audio\F03Session1wav_headMic0152.wav,This was easy for us.
dataset\audio\F03Session1wav_headMic0153.wav,wish
dataset\audio\F03Session1wav_headMic0154.wav,shoot
dataset\audio\F03Session1wav_headMic0155.wav,prior
dataset\audio\F03Session1wav_headMic0156.wav,witch
dataset\audio\F03Session1wav_headMic0157.wav,I feel I can play this weekend.
dataset\audio\F03Session1wav_headMic0158.wav,lip
dataset\audio\F03Session1wav_headMic0159.wav,bear
dataset\audio\F03Session1wav_headMic0160.wav,coupe
dataset\audio\F03Session1wav_headMic0161.wav,mut
dataset\audio\F03Session1wav_headMic0162.wav,fate
dataset\audio\F03Session1wav_headMic0164.wav,sigh
dataset\audio\F03Session1wav_headMic0165.wav,yes
dataset\audio\F03Session1wav_headMic0166.wav,boot
dataset\audio\F03Session1wav_headMic0167.wav,She is thinner than I am.
dataset\audio\F03Session1wav_headMic0168.wav,Their house is grey and white.
dataset\audio\F03Session1wav_headMic0169.wav,toot
dataset\audio\F03Session1wav_headMic0170.wav,All the big baseball players get traded.
dataset\audio\F03Session1wav_headMic0171.wav,write
dataset\audio\F03Session1wav_headMic0172.wav,mere
dataset\audio\F03Session1wav_headMic0173.wav,whoop
dataset\audio\F03Session1wav_headMic0174.wav,Why yell or worry over silly items?
dataset\audio\F03Session1wav_headMic0175.wav,You're used to being on the field.
dataset\audio\F03Session1wav_headMic0176.wav,dot
dataset\audio\F03Session1wav_headMic0177.wav,error
dataset\audio\F03Session1wav_headMic0178.wav,tile
dataset\audio\F03Session1wav_headMic0179.wav,He will allow a rare lie.
dataset\audio\F03Session1wav_headMic0180.wav,pad
dataset\audio\F03Session1wav_headMic0181.wav,sleep
dataset\audio\F03Session1wav_headMic0182.wav,Are your grades higher or lower than Nancy's?
dataset\audio\F03Session1wav_headMic0183.wav,cycle
dataset\audio\F03Session1wav_headMic0184.wav,The humidity is overwhelming there.
dataset\audio\F03Session1wav_headMic0185.wav,My sister made the flowered curtains.
dataset\audio\F03Session1wav_headMic0186.wav,explore
dataset\audio\F03Session1wav_headMic0187.wav,hear
dataset\audio\F03Session1wav_headMic0188.wav,One validated acts of school districts.
dataset\audio\F03Session1wav_headMic0189.wav,galore
dataset\audio\F03Session1wav_headMic0190.wav,We gathered shells on the beach.
dataset\audio\F03Session1wav_headMic0191.wav,menu
dataset\audio\F03Session1wav_headMic0192.wav,knew
dataset\audio\F03Session1wav_headMic0193.wav,sigh
dataset\audio\F03Session1wav_headMic0194.wav,I just try to do my best.
dataset\audio\F03Session1wav_headMic0195.wav,I was conscious all the time.
dataset\audio\F03Session1wav_headMic0196.wav,They carried me off on the stretcher.
dataset\audio\F03Session1wav_headMic0197.wav,sway
dataset\audio\F03Session1wav_headMic0198.wav,urgent
dataset\audio\F03Session1wav_headMic0199.wav,tie
dataset\audio\F03Session1wav_headMic0200.wav,suit
dataset\audio\F03Session1wav_headMic0201.wav,air
dataset\audio\F03Session1wav_headMic0202.wav,rocks
dataset\audio\F03Session1wav_headMic0203.wav,bat
dataset\audio\F03Session1wav_headMic0204.wav,ate
dataset\audio\F03Session2wav_headMic0001.wav,fear
dataset\audio\F03Session2wav_headMic0002.wav,know
dataset\audio\F03Session2wav_headMic0003.wav,though
dataset\audio\F03Session2wav_headMic0004.wav,droop
dataset\audio\F03Session2wav_headMic0005.wav,loop
dataset\audio\F03Session2wav_headMic0006.wav,"If you destroy confidence in banks, you do something to the economy, he said."
dataset\audio\F03Session2wav_headMic0007.wav,"If you destroy confidence in banks, you do something to the economy, he said."
dataset\audio\F03Session2wav_headMic0008.wav,You'd be better off taking a cold shower.
dataset\audio\F03Session2wav_headMic0009.wav,cheer
dataset\audio\F03Session2wav_headMic0012.wav,rock
dataset\audio\F03Session2wav_headMic0013.wav,no
dataset\audio\F03Session2wav_headMic0014.wav,peer
dataset\audio\F03Session2wav_headMic0015.wav,deer
dataset\audio\F03Session2wav_headMic0016.wav,white
dataset\audio\F03Session2wav_headMic0017.wav,Will Robin wear a yellow lily?
dataset\audio\F03Session2wav_headMic0018.wav,play
dataset\audio\F03Session2wav_headMic0019.wav,floor
dataset\audio\F03Session2wav_headMic0020.wav,The islands are sparsely populated.
dataset\audio\F03Session2wav_headMic0021.wav,Bright sunshine shimmers on the ocean.
dataset\audio\F03Session2wav_headMic0022.wav,jungle
dataset\audio\F03Session2wav_headMic0023.wav,single
dataset\audio\F03Session2wav_headMic0025.wav,briar
dataset\audio\F03Session2wav_headMic0026.wav,side
dataset\audio\F03Session2wav_headMic0027.wav,delta
dataset\audio\F03Session2wav_headMic0028.wav,Where were you while we were away?
dataset\audio\F03Session2wav_headMic0029.wav,"Everything went real smooth, the sheriff said."
dataset\audio\F03Session2wav_headMic0030.wav,pot
dataset\audio\F03Session2wav_headMic0031.wav,Two other cases also were under advisement.
dataset\audio\F03Session2wav_headMic0032.wav,Two other cases also were under advisement.
dataset\audio\F03Session2wav_headMic0033.wav,Two other cases were also under advisement.
dataset\audio\F03Session2wav_headMic0034.wav,pay
dataset\audio\F03Session2wav_headMic0035.wav,charlie
dataset\audio\F03Session2wav_headMic0036.wav,thigh
dataset\audio\F03Session2wav_headMic0037.wav,Both figures would go higher in later years.
dataset\audio\F03Session2wav_headMic0038.wav,much
dataset\audio\F03Session2wav_headMic0039.wav,hate
dataset\audio\F03Session2wav_headMic0040.wav,three
dataset\audio\F03Session2wav_headMic0041.wav,slip
dataset\audio\F03Session2wav_headMic0042.wav,slip
dataset\audio\F03Session2wav_headMic0043.wav,I tried to tell people in the community.
dataset\audio\F03Session2wav_headMic0044.wav,near
dataset\audio\F03Session2wav_headMic0045.wav,knot
dataset\audio\F03Session2wav_headMic0046.wav,sparkle
dataset\audio\F03Session2wav_headMic0047.wav,sprinkle
dataset\audio\F03Session2wav_headMic0048.wav,group
dataset\audio\F03Session2wav_headMic0049.wav,slay
dataset\audio\F03Session2wav_headMic0050.wav,root
dataset\audio\F03Session2wav_headMic0051.wav,snoop
dataset\audio\F03Session2wav_headMic0052.wav,forward
dataset\audio\F03Session2wav_headMic0053.wav,four
dataset\audio\F03Session2wav_headMic0054.wav,Mother sews yellow
dataset\audio\F03Session2wav_headMic0055.wav,Mother sews yellow gingham aprons.
dataset\audio\F03Session2wav_headMic0056.wav,here
dataset\audio\F03Session2wav_headMic0057.wav,write
dataset\audio\F03Session2wav_headMic0058.wav,"If you are losing water, replace it immediately."
dataset\audio\F03Session2wav_headMic0059.wav,yes
dataset\audio\F03Session2wav_headMic0060.wav,cart
dataset\audio\F03Session2wav_headMic0061.wav,take
dataset\audio\F03Session2wav_headMic0062.wav,seven
dataset\audio\F03Session2wav_headMic0063.wav,Day after day some new episode is reported.
dataset\audio\F03Session2wav_headMic0064.wav,leak
dataset\audio\F03Session2wav_headMic0065.wav,fat
dataset\audio\F03Session2wav_headMic0066.wav,lick
dataset\audio\F03Session2wav_headMic0067.wav,spain
dataset\audio\F03Session2wav_headMic0068.wav,shy
dataset\audio\F03Session2wav_headMic0069.wav,echo
dataset\audio\F03Session2wav_headMic0070.wav,fat
dataset\audio\F03Session2wav_headMic0071.wav,blow
dataset\audio\F03Session2wav_headMic0072.wav,We rode horseback to the farm.
dataset\audio\F03Session2wav_headMic0073.wav,sergeant
dataset\audio\F03Session2wav_headMic0074.wav,rich
dataset\audio\F03Session2wav_headMic0075.wav,quebec
dataset\audio\F03Session2wav_headMic0076.wav,park
dataset\audio\F03Session2wav_headMic0077.wav,leak
dataset\audio\F03Session2wav_headMic0078.wav,written
dataset\audio\F03Session2wav_headMic0079.wav,thought
dataset\audio\F03Session2wav_headMic0080.wav,The little schoolhouse stood empty.
dataset\audio\F03Session2wav_headMic0081.wav,him
dataset\audio\F03Session2wav_headMic0082.wav,seeds
dataset\audio\F03Session2wav_headMic0083.wav,and
dataset\audio\F03Session2wav_headMic0084.wav,hem
dataset\audio\F03Session2wav_headMic0085.wav,I expect we'll bounce back this week.
dataset\audio\F03Session2wav_headMic0086.wav,him
dataset\audio\F03Session2wav_headMic0087.wav,Both injuries were to the same leg.
dataset\audio\F03Session2wav_headMic0088.wav,part
dataset\audio\F03Session2wav_headMic0089.wav,loyal
dataset\audio\F03Session2wav_headMic0090.wav,oscar
dataset\audio\F03Session2wav_headMic0091.wav,much
dataset\audio\F03Session2wav_headMic0092.wav,The box contained three sweaters.
dataset\audio\F03Session2wav_headMic0093.wav,golf
dataset\audio\F03Session2wav_headMic0094.wav,hum
dataset\audio\F03Session2wav_headMic0095.wav,leak
dataset\audio\F03Session2wav_headMic0096.wav,seed
dataset\audio\F03Session2wav_headMic0098.wav,The museum hires musicians every evening.
dataset\audio\F03Session2wav_headMic0099.wav,A roll of wire lay near the wall.
dataset\audio\F03Session2wav_headMic0100.wav,no
dataset\audio\F03Session2wav_headMic0101.wav,Alimony harms a divorced man's wealth.
dataset\audio\F03Session2wav_headMic0102.wav,mike
dataset\audio\F03Session2wav_headMic0103.wav,city
dataset\audio\F03Session2wav_headMic0104.wav,sitting
dataset\audio\F03Session2wav_headMic0105.wav,witty
dataset\audio\F03Session2wav_headMic0106.wav,sign
dataset\audio\F03Session2wav_headMic0107.wav,bit
dataset\audio\F03Session2wav_headMic0108.wav,kitten
dataset\audio\F03Session2wav_headMic0109.wav,hark
dataset\audio\F03Session2wav_headMic0110.wav,brawn
dataset\audio\F03Session2wav_headMic0112.wav,league
dataset\audio\F03Session2wav_headMic0113.wav,five
dataset\audio\F03Session2wav_headMic0114.wav,eight
dataset\audio\F03Session2wav_headMic0115.wav,liar
dataset\audio\F03Session2wav_headMic0116.wav,lair
dataset\audio\F03Session2wav_headMic0118.wav,Nothing has been done yet to take advantage of the enabling legislation.
dataset\audio\F03Session2wav_headMic0119.wav,sigh
dataset\audio\F03Session2wav_headMic0120.wav,fitting
dataset\audio\F03Session2wav_headMic0121.wav,thorn
dataset\audio\F03Session2wav_headMic0122.wav,I have had my bell rung.
dataset\audio\F03Session2wav_headMic0123.wav,spit
dataset\audio\F03Session2wav_headMic0124.wav,spit
dataset\audio\F03Session2wav_headMic0125.wav,reek
dataset\audio\F03Session2wav_headMic0126.wav,nine
dataset\audio\F03Session2wav_headMic0127.wav,side
dataset\audio\F03Session2wav_headMic0128.wav,six
dataset\audio\F03Session2wav_headMic0129.wav,dark
dataset\audio\F03Session2wav_headMic0130.wav,The dolphins swam around our boat.
dataset\audio\F03Session2wav_headMic0131.wav,The dolphins swam around our boat.
dataset\audio\F03Session2wav_headMic0132.wav,There is a treehouse up above.
dataset\audio\F03Session2wav_headMic0133.wav,It eventually became a rather proud claim.
dataset\audio\F03Session2wav_headMic0134.wav,mitten
dataset\audio\F03Session2wav_headMic0135.wav,barn
dataset\audio\F03Session2wav_headMic0136.wav,pit
dataset\audio\F03Session2wav_headMic0137.wav,start
dataset\audio\F03Session2wav_headMic0138.wav,hitting
dataset\audio\F03Session2wav_headMic0140.wav,hitting
dataset\audio\F03Session2wav_headMic0141.wav,"Before Thursday's exam, review every formula."
dataset\audio\F03Session2wav_headMic0142.wav,Students watched as he got out.
dataset\audio\F03Session2wav_headMic0143.wav,The books are very expensive.
dataset\audio\F03Session2wav_headMic0144.wav,harp
dataset\audio\F03Session2wav_headMic0145.wav,foxtrot
dataset\audio\F03Session2wav_headMic0146.wav,foxtrot
dataset\audio\F03Session2wav_headMic0147.wav,The misguided souls have lost their way.
dataset\audio\F03Session2wav_headMic0148.wav,knitting
dataset\audio\F03Session2wav_headMic0149.wav,Carl lives in a lively home.
dataset\audio\F03Session2wav_headMic0150.wav,vat
dataset\audio\F03Session2wav_headMic0151.wav,fill
dataset\audio\F03Session2wav_headMic0152.wav,tell
dataset\audio\F03Session2wav_headMic0153.wav,It was a good win for us.
dataset\audio\F03Session2wav_headMic0154.wav,witch
dataset\audio\F03Session2wav_headMic0155.wav,juliet
dataset\audio\F03Session2wav_headMic0156.wav,zero
dataset\audio\F03Session2wav_headMic0157.wav,pretty
dataset\audio\F03Session2wav_headMic0159.wav,Swing your arm as high as you can.
dataset\audio\F03Session2wav_headMic0160.wav,This is not a program of socialized medicine.
dataset\audio\F03Session3wav_headMic0001.wav,Trespassers can be prosecuted and fined.
dataset\audio\F03Session3wav_headMic0003.wav,sitter
dataset\audio\F03Session3wav_headMic0004.wav,rock
dataset\audio\F03Session3wav_headMic0005.wav,shop
dataset\audio\F03Session3wav_headMic0006.wav,nice
dataset\audio\F03Session3wav_headMic0007.wav,People who value themselves are life's winners.
dataset\audio\F03Session3wav_headMic0008.wav,dread
dataset\audio\F03Session3wav_headMic0009.wav,Travel is about the only leisure we have.
dataset\audio\F03Session3wav_headMic0010.wav,wicker
dataset\audio\F03Session3wav_headMic0011.wav,night
dataset\audio\F03Session3wav_headMic0012.wav,write
dataset\audio\F03Session3wav_headMic0013.wav,geese
dataset\audio\F03Session3wav_headMic0014.wav,blend
dataset\audio\F03Session3wav_headMic0015.wav,blend
dataset\audio\F03Session3wav_headMic0016.wav,sierra
dataset\audio\F03Session3wav_headMic0017.wav,sierra
dataset\audio\F03Session3wav_headMic0018.wav,one
dataset\audio\F03Session3wav_headMic0019.wav,muck
dataset\audio\F03Session3wav_headMic0020.wav,pit
